priref	name	name_rkd_matching	rkd_reconcile_match_score	rkd_uri	rkd_id_reconciliation	Aantal gelinkte records	digital_reference	gender	birth.date.start	birth.date.end	birth.place	death.date.start	death.date.end	death.place
130	Rossum, van	Van Rossum & Co	100.0	https://data.rkd.nl/artists/447584	447584	2		man						
336	Bruin, de	Bruin, Han de	80.0	https://data.rkd.nl/artists/13413	13413	1		man						
505	Plug, Marian	Plug, Marian	100.0	https://data.rkd.nl/artists/63900	63900	168	https://rkd.nl/explore/artists/63900	vrouw	1937-08-01T23:00:00Z	1937-08-01T23:00:00Z	ALMELO			
1464	Vries, de	Vries, Paul de	83.33	https://data.rkd.nl/artists/82144	82144	12		man						
2315	Groen	Groen, Jan	72.73	https://data.rkd.nl/artists/368122	368122	23		man						
2936	Snijders	Snijders-Winkel, U.	93.33	https://data.rkd.nl/artists/211160	211160	10		man						
3629	Laat, K.E.J.M. de	Laat, K.E.J.M. de				1		vrouw						
3642	Brink, van den	Brink, H. van den	85.71	https://data.rkd.nl/artists/12620	12620	2		vrouw						
4645	Spijker	Spijker, B. E.	85.71	https://data.rkd.nl/artists/372595	372595	1		man						
4892	Gelderland	Gelderland	100.0	https://data.rkd.nl/artists/337341	337341	1		man						
4895	Riemersma	Bos-Riemersma, Gé	88.89	https://data.rkd.nl/artists/123004	123004	1		man						
5925	SDU Uitgevers BV	SDU Uitgevers BV				15		niet van toepassing						
6364	Wit, de	Wit-Smits, Jet de	72.73	https://data.rkd.nl/artists/88528	88528	2		niet van toepassing						
8574	Stichting Kunst en Openbare Ruimte	Stichting Kunst en Openbare Ruimte				4		niet van toepassing						
9686	Vuuren, van	Vuuren, Jan van	84.21	https://data.rkd.nl/artists/82292	82292	1		man						
12711	Hèman, Gerard	Hèman, Gerard	100.0	https://data.rkd.nl/artists/37324	37324	31	https://rkd.nl/explore/artists/37324	man	1914-07-16T23:00:00Z	1914-07-16T23:00:00Z	Duisburg	1992-07-10T22:00:00Z	1992-07-10T22:00:00Z	Rotterdam
12712	Beekum, R. van	Beekum, R. van				3	https://rkd.nl/explore/artists/5737	man	1950-10-19T23:00:00Z	1950-10-19T23:00:00Z	Rijswijk ZH			
12713	Veld, H.W. op het	Veld, H.W. op het				18	https://rkd.nl/explore/artists/79757	man	1926-07-03T23:00:00Z	1926-07-03T23:00:00Z	Vlodrop			
12716	Köppen, M.	Köppen, M.				17		man	1953	1953	AMSTENRADE			
12719	Kieft, J.	Kieft, J.				4	https://rkd.nl/explore/artists/44269	man	1798-07-10	1798-07-10	DE RIJP	1870-12-20	1870-12-20	Amsterdam
12720	German, Lower-Rhine	German, Lower-Rhine				2		niet van toepassing						
12723	Ven, H. van der	Ven, H. van der				28	https://rkd.nl/explore/artists/79929	man	1951-01-06T23:00:00Z	1951-01-06T23:00:00Z	Deventer			
12725	Stok, J.S. van der	Stok, J.S. van der				2		vrouw	1919-07-16T23:00:00Z	1919-07-16T23:00:00Z	Den Haag	1989-08-28T22:00:00Z	1989-08-28T22:00:00Z	AMERSFOORT
12726	Pirngadie, M.	Pirngadie, M.				1		man	1875	1875		1936	1936	
12731	Ricken, W.A.	Ricken, W.A.				71	https://rkd.nl/explore/artists/66725	man	1943-04-24T22:00:00Z	1943-04-24T22:00:00Z	DEN BOSCH			
12732	Gouwe, Herman	Gouwe, Herman	100.0	https://data.rkd.nl/artists/33060	33060	8	https://rkd.nl/explore/artists/33060	man	1875-05-08	1875-05-08	ALKMAAR	1965-12-27T23:00:00Z	1965-12-27T23:00:00Z	Papeete
12734	Lie, H.	Lie, H.				16	https://rkd.nl/explore/artists/49918	man	1941-01-20T22:00:00Z	1941-01-20T22:00:00Z	Nickerie			
12736	Flanagan, B.	Flanagan, B.				1		man	1941-01-10T22:00:00Z	1941-01-10T22:00:00Z	Prestatyn			
12740	Termote, A.P.	Termote, A.P.				11		man	1887-03-31	1887-03-31	Lichtervelde	1978-04-12T23:00:00Z	1978-04-12T23:00:00Z	VOORBURG
12745	Vries, A. de	Vries, Kees de (1940)	77.78	https://data.rkd.nl/artists/110089	110089	1		man						
12746	Verheyen, J.P.	Verheyen, J.P.				1	https://rkd.nl/explore/artists/80305	man	1899-05-28	1899-05-28	Amsterdam	1976-09-14T23:00:00Z	1976-09-14T23:00:00Z	Amsterdam
12747	Lunteren, J.M. van	Lunteren, J.M. van				47	https://rkd.nl/explore/artists/51363	man	1945-10-17T22:00:00Z	1945-10-17T22:00:00Z	ALKMAAR			
12748	Coupier Fils & Drouart/Paris	Coupier Fils & Drouart/Paris				1		niet van toepassing						
12750	Hollenbach, J.L.	Hollenbach, J.L.				18	https://rkd.nl/explore/artists/39188	man	1943-02-12T23:00:00Z	1943-02-12T23:00:00Z	SCHIEDAM	1976-11-21T23:00:00Z	1976-11-21T23:00:00Z	Rotterdam
12754	Straten-Lindner, C. van	Straten-Lindner, C. van				6	https://rkd.nl/explore/artists/50180	vrouw	1942-09-27T22:00:00Z	1942-09-27T22:00:00Z	Den Haag			
12755	Strij, A. van	Strij, A. van				7	https://rkd.nl/explore/artists/75741	man	1753-12-31	1753-12-31	DORDRECHT	1826-03-07	1826-03-07	DORDRECHT
12759	Leeuwen, H. van (1890-01-22)	Leeuwen, H. van (1890-01-22)				1	https://rkd.nl/explore/artists/48955	man	1890-01-22	1890-01-22	TER AAR	1972-08-22T23:00:00Z	1972-08-22T23:00:00Z	VOORBURG
12766	Reicher, A.F.	Reicher, A.F.				3		man	1858-05-18	1858-05-18	KAMPEN	1938-03-13T23:00:00Z	1938-03-13T23:00:00Z	Amsterdam
12768	Greiner, D.	Greiner, D.				9	https://rkd.nl/explore/artists/33663	man	1891-11-06	1891-11-06	Amsterdam	1964	1964	Amsterdam
12769	Akkeringa, J.E.H.	Akkeringa, J.E.H.				16	https://rkd.nl/explore/artists/817	man	1861-01-17	1861-01-17	Banka	1942-04-11T22:00:00Z	1942-04-11T22:00:00Z	AMERSFOORT
12772	Wensveen, J.W.L. van	Wensveen, J.W.L. van				185	https://rkd.nl/explore/artists/83605	man	1935-02-21T23:00:00Z	1935-02-21T23:00:00Z	Jutphaas			
12774	Brähler-Kühnen, D.	Brähler-Kühnen, D.				1	https://rkd.nl/explore/artists/98518	vrouw	1906	1906	UTRECHT			
12776	Titos	Titos	100.0	https://data.rkd.nl/artists/310911	310911	1		man	1963	1963	Maputo			
12777	Horrix, M.	Horrix, M.				2	https://rkd.nl/explore/artists/119836	man	1735	1735	Lobberich	1809-03-12	1809-03-12	Den Haag
12778	Desanges, L.W.	Desanges, L.W.				1	https://rkd.nl/explore/artists/22124	man	1822	1822	Bexley	1887	1887	
12779	onbekend	onbekend				10657		onbekend						
12780	Holst, P.	Holst, P.				1		man						
12781	Vermeulen, P.J.	Vermeulen, P.J.				1		man						
12782	Lierop, W. van	Lierop, W. van				20	https://rkd.nl/explore/artists/49979	man	1891-07-02	1891-07-02	Nieuwer-Amstel	1968-04-20T23:00:00Z	1968-04-20T23:00:00Z	WAGENINGEN
12783	Haas-Strijk, R. de	Haas-Strijk, R. de				38	https://rkd.nl/explore/artists/75751	vrouw	1939-12-08T23:00:00Z	1939-12-08T23:00:00Z	ALMELO			
12785	Deirkauf, R.G.R.C.	Deirkauf, R.G.R.C.				37	https://rkd.nl/explore/artists/21471	man	1946-05-05T22:00:00Z	1946-05-05T22:00:00Z	BILTHOVEN			
12786	Vinson-Cheret, C.	Vinson-Cheret, C.				1		man						
12787	Drion, W.F.	Drion, W.F.				101	https://rkd.nl/explore/artists/24262	man	1946-07-18T22:00:00Z	1946-07-18T22:00:00Z	Voorburg ZH			
12789	Rovers, J.J.	Rovers, J.J.				8	https://rkd.nl/explore/artists/68622	man	1893-12-15	1893-12-15	UTRECHT	1976-10-06T23:00:00Z	1976-10-06T23:00:00Z	Amsterdam
12792	Schut, W.	Schut, W.				1		onbekend						
12793	Metz & Co.	Metz & Co	100.0	https://data.rkd.nl/artists/335120	335120	39		niet van toepassing						
12796	Chapuis, E.	Chapuis, E.				2		man						
12798	Schoemaker Doyer, J.	Schoemaker Doyer, J.				4	https://rkd.nl/explore/artists/70838	man	1792-06-24	1792-06-24	Krefeld	1867-06-09	1867-06-09	ZUTPHEN
12801	Dehé, E.W.	Dehé, E.W.				2	https://rkd.nl/explore/artists/21449	man	1886-10-30	1886-10-30	GRONINGEN	1947-01-31T23:00:00Z	1947-01-31T23:00:00Z	SCHOORL
12803	Becker, J.H.	Becker, J.H.				1		man						
12806	Linden, D. van der	Linden, D. van der				7	https://rkd.nl/explore/artists/50127	man	1937-12-02T23:00:00Z	1937-12-02T23:00:00Z	Amsterdam			
12809	Fortuin, H.	Kleijn-Fortuin, H.	100.0	https://data.rkd.nl/artists/128359	128359	136	https://rkd.nl/explore/artists/28714	man	1916-12-25T23:00:00Z	1916-12-25T23:00:00Z	MAASSLUIS	2007-04-27T22:00:00Z	2007-04-27T22:00:00Z	SCHIEDAM
12811	Mels, J.W.A.A.M.	Mels, J.W.A.A.M.				34	https://rkd.nl/explore/artists/55148	man	1899-10-02	1899-10-02	TILBURG	1974-05-05T23:00:00Z	1974-05-05T23:00:00Z	Den Haag
12813	Galice, L.	Galice, L.				5		man	1864	1864		1935	1935	
12814	Blans, N.J.M. (1943-02-12)	Blans, N.J.M. (1943-02-12)				125	https://rkd.nl/explore/artists/8904	man	1943-02-11T23:00:00Z	1943-02-11T23:00:00Z	Den Haag			
12815	Mène, P.J.	Mène, P.J.				1	https://rkd.nl/explore/artists/213420	man	1810-03-25	1810-03-25	PARIJS	1879-05-21	1879-05-21	PARIJS
12817	Paravas, M.D.	Paravas, M.D.				2	https://rkd.nl/explore/artists/61784	man	1963-03-08T23:00:00Z	1963-03-08T23:00:00Z	Heraklion			
12820	Fles, M.T.J.	Fles, M.T.J.				1	https://rkd.nl/explore/artists/28278	vrouw	1857-05-01	1857-05-01	UTRECHT	1948-01-30T23:00:00Z	1948-01-30T23:00:00Z	Bergen  NH
12825	Giorgione	Giorgione	100.0	https://data.rkd.nl/artists/31833	31833	2		man	1478	1478	Castelfranco Veneto		1510-10-25	Venetië
12838	Oosterwold, B.	Oosterwold, B.				21	https://rkd.nl/explore/artists/60779	man	1943-02-23T23:00:00Z	1943-02-23T23:00:00Z	DELFZIJL			
12843	Vogel, W.	Vogel, W.				4	https://rkd.nl/explore/artists/81591	man	1936-03-26T23:00:00Z	1936-03-26T23:00:00Z	Nederhorst den Berg			
12844	Justsó	Justsó				77	https://rkd.nl/explore/artists/62909	man	1941-09-10T22:00:00Z	1941-09-10T22:00:00Z	DRACHTEN			
12845	Houten, J. van	Houten, J. van				2		man						
12846	Hema	HEMA	100.0	https://data.rkd.nl/artists/334947	334947	1		niet van toepassing						
12847	Wit, K.	Wit, K.				22	https://rkd.nl/explore/artists/110279	man	1932-12-22T23:00:00Z	1932-12-22T23:00:00Z	Hengelo OV			
12848	Hard Werken, Vereniging	Hard Werken, Vereniging				7		man	1980	1980	Rotterdam			
12853	Jelgersma, T.H.	Jelgersma, T.H.				2		man	1702-10-29	1702-10-29	HARLINGEN	1795-03-24	1795-03-24	Haarlem
12854	Hakse, J.W.	Hakse, J.W.				20	https://rkd.nl/explore/artists/35375	man	1937-04-14T23:00:00Z	1937-04-14T23:00:00Z	LEEUWARDEN			
12856	Storck, A.	Storck, A.				9		man	1635	1635	Amsterdam	1710	1710	Amsterdam (?)
12857	Langlois, H.	Langlois, H.				1		man						
12859	Bosma, W.	Bosma, W.				45	https://rkd.nl/explore/artists/11106	man	1902-09-20T23:00:00Z	1902-09-20T23:00:00Z	Amsterdam	1985-12-27T23:00:00Z	1985-12-27T23:00:00Z	Amsterdam
12861	Volger, G.G.	Volger, G.G.				103	https://rkd.nl/explore/artists/81659	man	1940-07-10T22:00:00Z	1940-07-10T22:00:00Z	WORMER			
12862	Lieutaud, B.	Lieutaud, B.				9		man						
12863	Guercino	Guercino	100.0	https://data.rkd.nl/artists/34463	34463	3		man	1591-02-08	1591-02-08	Cento	1666-12-22	1666-12-22	Bologna
12867	Hund, C.	Hund, C.				8	https://rkd.nl/explore/artists/40609	man	1915-11-30T23:00:00Z	1915-11-30T23:00:00Z	Amsterdam	2008-01-12T23:00:00Z	2008-01-12T23:00:00Z	Amsterdam
12872	Pynas, J.S.	Pynas, J.S.				3		man	1583	1584	Haarlem		1631-12-27	Amsterdam
12873	Löb, A.	Loeb, Ernst A.	36.36	https://data.rkd.nl/artists/50568	50568	21		man	1883-05-02	1883-05-02	Eberfeld	1959-04-11T23:00:00Z	1959-04-11T23:00:00Z	Den Haag
12874	Duiverman, H.J.	Duiverman, H.J.				36	https://rkd.nl/explore/artists/24695	man	1906-10-01T23:00:00Z	1906-10-01T23:00:00Z	Leiden	1973-03-14T23:00:00Z	1973-03-14T23:00:00Z	Den Haag
12875	Schiller, G.F.F.	Schiller, G.F.F.				1	https://rkd.nl/explore/artists/70509	man	1886-11-04	1886-11-04	Amsterdam	1971-12-23T23:00:00Z	1971-12-23T23:00:00Z	BUSSUM
12876	Heiden, L. de	Heiden, L. de				1		vrouw						
12877	Champeaux, F. de	Champeaux, F. de				1		onbekend						
12879	Kaiser, J.W. I	Kaiser, J.W. I				4	https://rkd.nl/explore/artists/43256	man	1813-01-05	1813-01-05	Amsterdam	1900-11-28T23:00:00Z	1900-11-28T23:00:00Z	Leiden
12881	Backer, J.A.	Backer, J.A.				4		man	1608	1608	HARLINGEN	1651-08-17	1651-08-17	Amsterdam
12883	Visser, D.	Visser, D.	100.0	https://data.rkd.nl/artists/205654	205654	3		man	1946	1946				
12886	Schreuder, C.E.	Schreuder, C.E.				9	https://rkd.nl/explore/artists/71175	vrouw	1948-01-14T23:00:00Z	1948-01-14T23:00:00Z	Wassenaar			
12890	Martens, Ton	Martens, Ton	100.0	https://data.rkd.nl/artists/52894	52894	77	https://rkd.nl/explore/artists/52894	man	1946-11-23T23:00:00Z	1946-11-23T23:00:00Z	VELSEN			
12891	Basart, P.A.	Basart, P.A.				171	https://rkd.nl/explore/artists/4851	man	1939-06-16T23:00:00Z	1939-06-16T23:00:00Z	Rotterdam			
12892	Stauthamer-Smit, J.	Stauthamer-Smit, J.				2		vrouw	1926-12-24T23:00:00Z	1926-12-24T23:00:00Z	Amsterdam	2003-09-02T22:00:00Z	2003-09-02T22:00:00Z	Amsterdam
12893	Koekkoek, H. I	Koekkoek, H. I				2	https://rkd.nl/explore/artists/45300	man	1815-03-13	1815-03-13	MIDDELBURG	1882-11-05	1882-11-05	Haarlem
12895	Hoek Ostende, H. van der	Hoek Ostende, H. van der				11		man	1951	1952				
12896	"Uitgeverij ""De Spiegel"" N.V."	"Uitgeverij ""De Spiegel"" N.V."				1		niet van toepassing						
12897	Genk, J.F. van	Genk, J.F. van				52	https://rkd.nl/explore/artists/30885	man	1939-09-03T23:00:00Z	1939-09-03T23:00:00Z	Dorst			
12900	Laar, T. van	Laar, T. van				11		man	1943	1943	Den Haag			
12903	Verhoef, A.W.	Verhoef, Toon (1946-)	100.0	https://data.rkd.nl/artists/80341	80341	11	https://rkd.nl/explore/artists/80341	man	1946-10-16T23:00:00Z	1946-10-16T23:00:00Z	Voorburg ZH			
12904	Vroom, H.D. de	Vroom, Henk de (1946-)	100.0	https://data.rkd.nl/artists/82223	82223	12	https://rkd.nl/explore/artists/82223	man	1946-10-12T23:00:00Z	1946-10-12T23:00:00Z	Leiden			
12906	Lindeman, M.M.	Lindeman, Rita	100.0	https://data.rkd.nl/artists/50120	50120	60		vrouw	1946	1946	Amsterdam			
12911	Monogrammist H.P.	Monogrammist H.P.				1		onbekend						
12912	Kuijk-Jaspers, M.P.S. van	Kuijk-Jaspers, M.P.S. van				20	https://rkd.nl/explore/artists/42045	vrouw	1949-02-04T23:00:00Z	1949-02-04T23:00:00Z	Amsterdam			
12915	Hermanides, P.	Hermanides, P.				149	https://rkd.nl/explore/artists/37785	man	1932-02-17T23:00:00Z	1932-02-17T23:00:00Z	Amsterdam			
12917	Campe, F.	Campe, F.				2		man						
12921	Paauwe, J.A.	Paauwe, J.A.				8		man	1951-01-11T23:00:00Z	1951-01-11T23:00:00Z	Den Haag			
12922	Thomassen, G.J.	Thomassen, Gerard	100.0	https://data.rkd.nl/artists/129420	129420	132		man	1926	1926	DUSSELDORF	2004-03	2004-03	TIEL
12924	Stolle, H.	Stolle, H.				3		man	1924-04-19T23:00:00Z	1924	Amsterdam	2006-08-07T22:00:00Z	2006-08-07T22:00:00Z	
12928	Schuer, Theodoor van der	Schuer, Theodoor van der	100.0	https://data.rkd.nl/artists/71288	71288	5	https://rkd.nl/explore/artists/71288	man	1634	1628	Den Haag	1707	1707	Den Haag
12929	Tajoka	Kemp, Theo	100.0	https://data.rkd.nl/artists/43875	43875	7	https://rkd.nl/explore/artists/43875	man	1933-05-17T23:00:00Z	1933-05-17T23:00:00Z	DORDRECHT	2008-03-04T23:00:00Z	2008-03-04T23:00:00Z	DORDRECHT
12930	Polder, J.J. van de	Polder, J.J. van de				1		niet van toepassing						
12932	Ziesenis, J.	Ziesenis, J.				3	https://rkd.nl/explore/artists/92770	man	1770-07-05	1770-07-05	Amsterdam	1799-01-22	1799-01-22	Amsterdam
12933	Boegel	Boegel, Klaus	66.67	https://data.rkd.nl/artists/98685	98685	7		man	1943	1943	Mühlheim an der Ruhr			
12934	Gribling, F.T.H.	Gribling, F.T.H.				14	https://rkd.nl/explore/artists/33759	man	1933-10-15T23:00:00Z	1933-10-15T23:00:00Z	Soerabaja			
12936	Vaarzon Morel, W. (1901-03-26)	Vaarzon Morel, W. (1901-03-26)				6	https://rkd.nl/explore/artists/78897	man	1901-03-25T23:00:00Z	1901-03-25T23:00:00Z	ARNHEM	1982-12-21T23:00:00Z	1982-12-21T23:00:00Z	VEERE
12939	Koopmans, D.K.	Koopmans, D.K.				2	https://rkd.nl/explore/artists/45787	man	1906-10-06T23:00:00Z	1906-10-06T23:00:00Z	Oldelamer	1998-03-04T23:00:00Z	1998-03-04T23:00:00Z	BALK
12941	Sciarone, F.A.	Sciarone, F.A.				1	https://rkd.nl/explore/artists/71571	man	1951-07-21T23:00:00Z	1951-07-21T23:00:00Z	Den Haag			
12942	Fortuyn, I.	Fortuyn, I.				9		vrouw	1959-03-19T23:00:00Z	1959-03-19T23:00:00Z	Geldrop			
12944	Loon, Johan Gerard	Loon, Johan van	90.32	https://data.rkd.nl/artists/50811	50811	138	https://rkd.nl/explore/artists/50811	man	1934-10-28T23:00:00Z	1934-10-28T23:00:00Z	Rotterdam	2020-02-23T23:00:00Z	2020-02-23T23:00:00Z	BREDA
12945	Oudewaal BV	Oudewaal BV				1		niet van toepassing						
12946	Steen, F. van der	Steen, F. van der				1		man	1944	1944	Den Haag			
12947	Keirincx, A.	Keirincx, A.				1	https://rkd.nl/explore/artists/43749	man	1600-01-23	1600-01-23	ANTWERPEN		1652-10-07	Amsterdam
12948	Herwijnen, J.A.G. van	Herwijnen, J.A.G. van				28	https://rkd.nl/explore/artists/37992	man	1889-11-04	1889-11-04	DELFT	1965-04-11T23:00:00Z	1965-04-11T23:00:00Z	Bergen  NH
12949	Zanuso, M.	Zanuso, M.				3	https://rkd.nl/explore/artists/241065	man	1916-05-13T22:00:00Z	1916-05-13T22:00:00Z	Milaan	2001-07-08T22:00:00Z	2001-07-08T22:00:00Z	Milaan
12950	Spuybroek, F.	Spuybroek, F.				1		man						
12951	Furuya, K.	Furuya, K.				1		onbekend						
12952	Maris, S.W.	Maris, S.W.				3	https://rkd.nl/explore/artists/89063	man	1873-05-21	1873-05-21	Den Haag	1935-01-21T23:00:00Z	1935-01-21T23:00:00Z	Amsterdam
12955	Blommerde, A.P.	Blommerde, A.P.				65	https://rkd.nl/explore/artists/9297	man	1946-06-07T22:00:00Z	1946-06-07T22:00:00Z	OUDENBOSCH			
12958	Voerman, G.H.C.	Voerman, G.H.C.				2		man						
12959	Fragonard, J.H.	Fragonard, J.H.				10	https://rkd.nl/explore/artists/28857	man	1732-04-05	1732-04-05	GRASSE	1806-08-22	1806-08-22	PARIJS
12961	Pennings, J.H.	Pennings, J.H.				6	https://rkd.nl/explore/artists/62561	man	1898-08-08	1898-08-08	Lebak	1982-04-29T22:00:00Z	1982-04-29T22:00:00Z	DELFT
12967	Baillieux, J.M.C.	Baillieux, J.M.C.				1	https://rkd.nl/explore/artists/118647	man	1937-02-08T23:00:00Z	1937-02-08T23:00:00Z	MAASTRICHT			
12968	Loo, H.J.A. van	Loo, H.J.A. van				30	https://rkd.nl/explore/artists/50776	man	1946-03-10T23:00:00Z	1946-03-10T23:00:00Z	GULPEN			
12969	Bakel, G. van	Bakel, G. van				56	https://rkd.nl/explore/artists/3672	man	1943-10-16T23:00:00Z	1943-10-16T23:00:00Z	VENRAY	1984-11-17T23:00:00Z	1984-11-17T23:00:00Z	DEURNE
12971	Roelofsen, J.	Roelofsen, J.				1		man						
12973	Wijngaarden, G. van	Wijngaarden, G. van				65		man						
12974	Oudendyk, A.	Oudendyk, A.				1		man	1648	1648	Haarlem	1700		Haarlem
12976	Brusse, M. (1937)	Brusse, M. (1937)				39	https://rkd.nl/explore/artists/13600	man	1937-07-24T23:00:00Z	1937-07-24T23:00:00Z	ALKMAAR			
12985	Groot, E.D. de	Groot, E.D. de				58	https://rkd.nl/explore/artists/34121	vrouw	1940-06-28T22:00:00Z	1940-06-28T22:00:00Z	NIJMEGEN			
12986	Furiakovics, G.L.	Furiakovics, G.L.				1		onbekend						
12987	Amman, J.	Amman, J.				3		man	1539-06	1539-06	ZÜRICH	1591	1591	ZÜRICH
12988	Corso, N.	Corso, N.				1		man						
12990	Paré, H.M.	Paré, H.M.				31	https://rkd.nl/explore/artists/61790	vrouw	1896-07-14	1896-07-14	DRUTEN	1972-02-24T23:00:00Z	1972-02-24T23:00:00Z	Den Haag
12992	Zijl, W.H. van	Zijl, W.H. van				145	https://rkd.nl/explore/artists/86387	vrouw	1924-02-20T23:00:00Z	1924-02-20T23:00:00Z	UTRECHT	2010-09-14T22:00:00Z	2010-09-14T22:00:00Z	HILLEGOM
12993	Escher, M.C.	Escher, M.C.	100.0	https://data.rkd.nl/artists/26631	26631	53	https://rkd.nl/explore/artists/26631	man	1898-06-17	1898-06-17	LEEUWARDEN	1972-03-26T23:00:00Z	1972-03-26T23:00:00Z	Laren NH
12994	Hoff, C.H. I	Hoff, C.H. I				1	https://rkd.nl/explore/artists/220936	man	1838-09-08	1838-09-08	Mannheim	1890-05-13	1890-05-13	KARLSRUHE
12995	Wit Jansz., I. de	Wit Jansz., I. de				4	https://rkd.nl/explore/artists/96304	man	1744-12-09	1744-12-09	Amsterdam	1809-03-13	1809-03-13	Haarlem
12996	Prins, M.G.M.	Prins, M.G.M.				3	https://rkd.nl/explore/artists/64874	vrouw	1948-04-13T23:00:00Z	1948-04-13T23:00:00Z	Lichtervelde			
12997	Hak, F.A.J.M.	Hak, Frans	100.0	https://data.rkd.nl/artists/35358	35358	1	https://rkd.nl/explore/artists/35358	man	1943-11-02T23:00:00Z	1943-11-02T23:00:00Z	Haarlem			
13000	Fortuyn / O'Brien	Fortuyn / O'Brien				9		vrouw	1983	1983		1988	1988	
13001	Olsthoorn, J.G.M.	Olsthoorn, Hans	69.57	https://data.rkd.nl/artists/60525	60525	93		man						
13002	Rhijn, J.A. van	Rhijn, J.A. van				1	https://rkd.nl/explore/artists/66523	man	1921-06-20T23:00:00Z	1921-06-20T23:00:00Z	VENLO			
13003	Zwerver, A.J.	Zwerver, A.J.				3	https://rkd.nl/explore/artists/86763	man	1951-04-30T23:00:00Z	1951-04-30T23:00:00Z	Amsterdam			
13007	Thuijs, N.F.	Thuijs, N.F.				12	https://rkd.nl/explore/artists/77352	man	1927-10-23T23:00:00Z	1927-10-23T23:00:00Z	HOORN	1989-11-29T23:00:00Z	1989-11-29T23:00:00Z	EELDE
13008	Tischbein, J.H. I	Tischbein, J.H. I				1	https://rkd.nl/explore/artists/77629	man	1722-10-14	1722-10-14	Haina	1789-08-22	1789-08-22	KASSEL
13013	Halbertsma, J.T.	Halbertsma, J.T.				15	https://rkd.nl/explore/artists/35391	man	1923-05-20T23:00:00Z	1923-05-20T23:00:00Z	SNEEK			
13015	Winkel, A.H.	Winkel, A.H.				29	https://rkd.nl/explore/artists/84947	man	1923-05-29T23:00:00Z	1923-05-29T23:00:00Z	Rotterdam	1989-02-22T23:00:00Z	1989-02-22T23:00:00Z	DORDRECHT
13016	Versluys, W., uitgevers maatschappij	Versluys, W., uitgevers maatschappij				14	https://nl.wikipedia.org/wiki/W._Versluys_(uitgeverij)	niet van toepassing	1875	1875		1997	1997	
13017	Kunstatelier Brunssum	Kunstatelier Brunssum				1		niet van toepassing						
13018	Verhoeven, A. (1952-09-10)	Verhoeven, A. (1952-09-10)				5	https://rkd.nl/explore/artists/80355	man	1952-09-09T23:00:00Z	1952-09-09T23:00:00Z	BERKEL-ENSCHOT			
13021	Cappelli	Cappelli, Pietro	70.0	https://data.rkd.nl/artists/15222	15222	10		niet van toepassing						
13022	Bizard, C.H.	Bizard, C.H.				2	https://rkd.nl/explore/artists/111444	man	1887-11-14	1887-11-14	Roubaix	1954	1954	
13024	Lennarts, J.A.M.	Lennarts, J.A.M.				79	https://rkd.nl/explore/artists/49366	man	1932-12-17T23:00:00Z	1932-12-17T23:00:00Z	EINDHOVEN	1991-10-05T23:00:00Z	1991-10-05T23:00:00Z	Lagarderé
13027	Clifford, M.L.A.	Clifford, M.L.A.				15		man	1698	1698	WEERT	1738-06-19	1738-06-19	VENLO
13028	Dumas-Kuil, W.M.M.	Dumas-Kuil, W.M.M.				1	https://rkd.nl/explore/artists/46787	vrouw	1949-05-25T22:00:00Z	1949-05-25T22:00:00Z	VLAARDINGEN			
13029	Holbein, H. I	Holbein, H. I				8	https://rkd.nl/explore/artists/39108	man			Augsburg	1524	1524	Isenheim
13032	Dijkhorst, H.J.K. van	Dijkhorst, H.J.K. van				77	https://rkd.nl/explore/artists/23011	man	1947-06-17T21:00:00Z	1947-06-17T21:00:00Z	Rotterdam			
13034	Lippert, P.D.	Lippert, P.D.				1		man	1702-09-29	1702-09-29	Dresden	1785-03-28	1785-03-28	Dresden
13035	Leeuwen, H. van	Leeuwen, H. van (1907)	76.92	https://data.rkd.nl/artists/102511	102511	6		man						
13038	Roestenburg, M.W.	Roestenburg, M.W.				1	https://rkd.nl/explore/artists/67674	man	1909-11-30T23:00:00Z	1909-11-30T23:00:00Z	Woensel	1966-02-17T23:00:00Z	1966-02-17T23:00:00Z	Palmerston North
13043	Schouten, J.L.	Schouten, J.L.				2	https://rkd.nl/explore/artists/90095	man	1852-12-14	1852-12-14	ALPHEN AAN DEN RIJN	1937-08-03T23:00:00Z	1937-08-03T23:00:00Z	DELFT
13045	Waanders, F.B.	Waanders, F.B.				4	https://rkd.nl/explore/artists/82328	man	1809-05-26	1809-05-26	Amsterdam	1880-12-29	1880-12-29	Den Haag
13050	Knobbe, W.	Knobbe, W.				3	https://rkd.nl/explore/artists/45090	man	1934-08-10T23:00:00Z	1934-08-10T23:00:00Z	HEERENVEEN	1989-02-17T23:00:00Z	1989-02-17T23:00:00Z	GRONINGEN
13051	Heijden, M.E.G. van der	Heijden, M.E.G. van der				208	https://rkd.nl/explore/artists/37021	vrouw	1922-12-19T23:00:00Z	1922-12-19T23:00:00Z	KERKRADE	1998-05-25T22:00:00Z	1998-05-25T22:00:00Z	MAASTRICHT
13052	Wasowics, G.	Wasowics, G.				2		vrouw	1947-07-31T22:00:00Z	1947-07-31T22:00:00Z	WARSCHAU			
13054	Reus, C.J. de	Reus, Cor de	100.0	https://data.rkd.nl/artists/108460	108460	6	https://rkd.nl/explore/artists/108460	man	1947-05-14T21:00:00Z	1947-05-14T21:00:00Z	Amsterdam			
