priref	name	name_rkd_matching	rkd_reconcile_match_score	rkd_uri	rkd_id_reconciliation	Aantal gelinkte records	digital_reference	gender	birth.date.start	birth.date.end	birth.place	death.date.start	death.date.end	death.place
25016	Luttichuijs, I.	Luttichuijs, I.				3		man	1616-02-25	1616-02-25	Austin Friars	1673	1673	Amsterdam
25018	Bril, R.	Bril, R.				60	https://rkd.nl/explore/artists/12591	man	1941-09-28T22:00:00Z	1941-09-28T22:00:00Z	Usquert			
25021	Mousyn, M.	Mousyn, M.				1		man	1630	1630	Amsterdam (?)			
25024	Linnartz, M.J.	Linnartz, M.J.				3	https://rkd.nl/explore/artists/50239	man	1929-05-26T23:00:00Z	1929-05-26T23:00:00Z	BRUNSSUM			
25025	Warb, Nicolaas	Warb, Nicolaas	100.0	https://data.rkd.nl/artists/82834	82834	1	https://rkd.nl/explore/artists/82834	vrouw	1906-05-13T23:00:00Z	1906-05-13T23:00:00Z	Amsterdam	1957-08-01T23:00:00Z	1957-08-01T23:00:00Z	Hilversum
25026	Roelofs, W.E.	Roelofs, W.E.				9	https://rkd.nl/explore/artists/67623	man	1874-04-24	1874-04-24	Schaerbeek	1940-06-01T22:00:00Z	1940-06-01T22:00:00Z	Den Haag
25028	Smit Duyzentkunst, A.L.	Smit Duyzentkunst, A.L.				33	https://rkd.nl/explore/artists/73301	man	1945-07-29T21:00:00Z	1945-07-29T21:00:00Z	Hilversum			
25033	Guerain, A.P.	Guerain, A.P.				10		man	1873-09-17	1873-09-17				
25035	Schwiebert	Schwiebert, Mathieu	72.0	https://data.rkd.nl/artists/293610	293610	48		niet van toepassing						
25036	Schipperus, P.A.	Schipperus, P.A.				2	https://rkd.nl/explore/artists/70576	man	1840-03-06	1840-03-06	Rotterdam	1929-10-03T23:00:00Z	1929-10-03T23:00:00Z	Den Haag
25037	Roothaan, S.C.J.M.	Roothaan, S.C.J.M.				40	https://rkd.nl/explore/artists/68123	man	1954-01-08T23:00:00Z	1954-01-08T23:00:00Z	NIJMEGEN			
25040	Elk, Maria van	Elk, Maria van	100.0	https://data.rkd.nl/artists/25990	25990	46	https://rkd.nl/explore/artists/25990	vrouw	1943-05-13T22:00:00Z	1943-05-13T22:00:00Z	Amsterdam			
25043	Fittler, J.	Fittler, J.				1		man	1758	1758	LONDEN	1835-12-02	1835-12-02	LONDEN
25044	Vouet, S.	Vouet, S.				1		man	1590-01-09	1590-01-09	PARIJS	1649-06-30	1649-06-30	PARIJS
25046	Kiesler, S.	Kiesler, S.				2		vrouw						
25048	Werff, P. van der	Werff, P. van der				30	https://rkd.nl/explore/artists/83665	man	1665	1665	Kralinger-Ambacht	1722	1722	Rotterdam
25052	Surie, J.	Surie, J.				5	https://rkd.nl/explore/artists/76080	vrouw	1879-09-05	1879-09-05	Amsterdam	1970-02-04T23:00:00Z	1970-02-04T23:00:00Z	Amsterdam
25054	Hamesse, A.J.	Hamesse, A.J.				1		man	1845	1845	BRUSSEL	1925	1925	Elsene
25055	Monogrammist D.F.	Monogrammist D.F.				1		onbekend						
25056	Mager, M.J.J.H.	Mager, M.J.J.H.				13	https://rkd.nl/explore/artists/51941	vrouw	1947-03-05T23:00:00Z	1947-03-05T23:00:00Z	MAASTRICHT			
25057	Metz, K.	Metz, K.				35		man	1952	1953				
25059	Kruseman, J.A.J.	Kruseman, J.A.J.				16	https://rkd.nl/explore/artists/46668	man	1804-02-12	1804-02-12	Haarlem	1862-03-17	1862-03-17	Haarlem
25061	Hamer, F.P.F.	Hamer, F.P.F.				3	https://rkd.nl/explore/artists/35622	man	1906-11-23T23:00:00Z	1906-11-23T23:00:00Z	NIJMEGEN	1993-08-20T22:00:00Z	1993-08-20T22:00:00Z	MAASTRICHT
25064	Kuyck, J.L. van	Kuyck, J.L. van				1	https://rkd.nl/explore/artists/79278	man	1821-08-04	1821-08-04	ANTWERPEN	1871-07-04	1871-07-04	ANTWERPEN
25065	Engels, L.M.A.	Engels, L.M.A.				59		man	1954-10-20T23:00:00Z	1954-10-20T23:00:00Z	VENLO			
25066	Rikken, B.T.M.C.	Rikken, B.T.M.C.				21	https://rkd.nl/explore/artists/67038	man	1951-08-25T23:00:00Z	1951-08-25T23:00:00Z	Grevenbicht			
25068	Berg, H.B.A.M. van den	Berg, H.B.A.M. van den				75	https://rkd.nl/explore/artists/6909	man	1953-05-07T23:00:00Z	1953-05-07T23:00:00Z	WIJCHEN			
25069	Oud Loosdrecht, Manufactuur	Porseleinmanufactuur M.O.L.	95.65	https://data.rkd.nl/artists/444028	444028	5		niet van toepassing						
25072	Nordanus, G.	Nordanus, G.				5		man						
25074	Woutersen-van Doesburgh, E.L.H. van	Woutersen-van Doesburgh, E.L.H. van				2	https://rkd.nl/explore/artists/23482	vrouw	1875-12-07	1875-12-07	Amsterdam	1957-03-07T23:00:00Z	1957-03-07T23:00:00Z	BLOEMENDAAL
25076	Rijnbende, V.	Rijnbende, V.				11	https://rkd.nl/explore/artists/66990	man	1955-12-17T23:00:00Z	1955-12-17T23:00:00Z	APELDOORN			
25078	Bekman, H.C.G.	Bekman, H.C.G.				96	https://rkd.nl/explore/artists/6093	man	1896-11-04	1896-11-04	Voorburg ZH	1974-07-28T23:00:00Z	1974-07-28T23:00:00Z	Den Haag
25081	Stok, C.J.E.	Stok, C.J.E.				1		man	1890-01-09	1890-01-09	UTRECHT	1973-08-31T23:00:00Z	1973-08-31T23:00:00Z	Den Haag
25082	Valk, P.J. de	Valk, P.J. de				1		man	1584	1584	LEEUWARDEN		1630	
25083	Braakensiek-Dekker, A.M.	Braakensiek-Dekker, A.M.				1	https://rkd.nl/explore/artists/11820	vrouw	1890-01-12	1890-01-12	ENKHUIZEN	1970-01-11T23:00:00Z	1970-01-11T23:00:00Z	Amsterdam
25084	Bruyn, M. de	Bruyn, Henriëtte de	52.17	https://data.rkd.nl/artists/122826	122826	127	https://rkd.nl/explore/artists/122831	man	1930-12-14T23:00:00Z	1930-12-14T23:00:00Z				
25085	Giles, M.	Giles, M.				1		vrouw	1938-03-18T23:00:00Z	1938-03-18T23:00:00Z	Newquay			
25088	Munster, Jan van (1939)	Munster, Jan van (1939)	100.0	https://data.rkd.nl/artists/58498	58498	43	https://rkd.nl/explore/artists/58498	man	1939-07-02T23:00:00Z	1939-07-02T23:00:00Z	GORINCHEM			
25093	Pellegrini, D.	Pellegrini, D.				1	https://rkd.nl/explore/artists/62456	man	1759-03-19	1759-03-19	Galliera	1840-03-04	1840-03-04	ROME
25095	Kleef, P.W. van	Kleef, P.W. van				61		man						
25097	Verstraeten, W.R.L.	Verstraeten, W.R.L.				3	https://rkd.nl/explore/artists/80714	man	1951-02-26T23:00:00Z	1951-02-26T23:00:00Z	HULST			
25098	Holtappels, H.G.	Holtappels, H.G.				1	https://rkd.nl/explore/artists/98684	man	1951-02-21T23:00:00Z	1951-02-21T23:00:00Z	Krefeld			
25099	Hesseling, F.H.	Hesseling, F.H.				35		man	1951	1951	GRONINGEN			
25100	Marle, W.B. van	Marle, W.B. van				1		man						
25103	Skiczuk, H.E.	Skiczuk, H.E.				65	https://rkd.nl/explore/artists/72934	man	1943-03-27T23:00:00Z	1943-03-27T23:00:00Z	Ptuj			
25105	Metz, R.	Metz, R.				94		man	1930	1931				
25106	Lodder, R.P.	Lodder, R.P.				4		man	1946-02-22T23:00:00Z	1946-02-22T23:00:00Z	ZANDVOORT			
25110	Holleman, L.J.	Holleman, L.J.				3		man	1908-07-02T23:00:00Z	1908-07-02T23:00:00Z		1983-03-09T23:00:00Z	1983-03-09T23:00:00Z	
25111	Franse, C.	Franse, C.				50	https://rkd.nl/explore/artists/29169	man	1924-12-05T23:00:00Z	1924-12-05T23:00:00Z	OUD-BEIJERLAND	1982-07-12T22:00:00Z	1982-07-12T22:00:00Z	Rotterdam
25113	Nienhuis, L.	Nienhuis, L.				18	https://rkd.nl/explore/artists/89334	man	1873-11-14	1873-11-14	GRONINGEN	1960-05-23T23:00:00Z	1960-05-23T23:00:00Z	Amsterdam
25115	Brugghen, G.A. van der	Brugghen, G.A. van der				4		man	1811-11-02	1811-11-02	NIJMEGEN	1891-07-18	1891-07-18	UBBERGEN
25119	Straasheijm, M.J.P.	Straasheijm, M.J.P.				2	https://rkd.nl/explore/artists/110880	man	1888-02-25	1888-02-25	Roosendaal en Nispen	1953-12-22T23:00:00Z	1953-12-22T23:00:00Z	DORDRECHT
25121	Mension, C.J.	Mension, C.J.				3	https://rkd.nl/explore/artists/55283	man	1882-03-11	1882-03-11	DELFT	1950-05-01T23:00:00Z	1950-05-01T23:00:00Z	DELFT
25123	Fruytier, W.E.M.	Fruytier, W.E.M.				8	https://rkd.nl/explore/artists/29674	vrouw	1915-01-13T23:00:00Z	1915-01-13T23:00:00Z	Deventer	2007-06-12T22:00:00Z	2007-06-12T22:00:00Z	Amsterdam
25125	Kromhout	Kromhout, Willem	70.0	https://data.rkd.nl/artists/88767	88767	3		niet van toepassing						
25128	Vollewens, R.	Vollewens, R.				10	https://rkd.nl/explore/artists/81695	man	1953-04-06T23:00:00Z	1953-04-06T23:00:00Z	BREDA			
25129	Jacobs, J.	Jacobs, J.	100.0	https://data.rkd.nl/artists/41360	41360	16	https://rkd.nl/explore/artists/89245	man	1944-10-16T23:00:00Z	1944-10-16T23:00:00Z	Amsterdam	1979-06-28T23:00:00Z	1979-06-28T23:00:00Z	San Lorenzo de El Escorial
25130	Kok, A.F. de	Kok, A.F. de				17		man	1930	1930	TILBURG			
25133	Jong, P.C.T. de	Jong, P.C.T. de				8		vrouw						
25137	Bolte, H.P.	Bolte, H.P.				3	https://rkd.nl/explore/artists/10186	man	1906-09-10T23:00:00Z	1906-09-10T23:00:00Z	Amsterdam	1989-06-10T22:00:00Z	1989-06-10T22:00:00Z	Frankrijk
25138	Osnabrugge, J. van	Osnabrugge, J. van				18	https://rkd.nl/explore/artists/61064	man	1946-05-25T22:00:00Z	1946-05-25T22:00:00Z	Den Haag			
25143	Jan Molitor	Santen, Aimé van	88.89	https://data.rkd.nl/artists/69687	69687	79	https://rkd.nl/explore/artists/69687	man	1917-07-20T22:00:00Z	1917-07-20T22:00:00Z	Rotterdam	1988-02-20T23:00:00Z	1988-02-20T23:00:00Z	Den Haag
25145	Engelbrecht, M.	Engelbrecht, M.				2		man						
25146	Beerthuis-Roos, E.T.	Beerthuis-Roos, E.T.				5	https://rkd.nl/explore/artists/68059	vrouw	1926-12-24T23:00:00Z	1926-12-24T23:00:00Z	Soekaboemi			
25147	Ingen, H.A. van	Ingen, H.A. van				2	https://rkd.nl/explore/artists/41040	man	1846-06-16	1846-06-16	RENKUM	1920-04-13T23:00:00Z	1920-04-13T23:00:00Z	RENKUM
25148	Bogert, J.	Bogert, J.				1		niet van toepassing						
25149	Sailliar, L.	Sailliar, L.				1	https://rkd.nl/explore/artists/69265	man	1748	1748	PARIJS	1795	1795	LONDEN
25151	Monogrammist B.E.	Monogrammist B.E.				1		onbekend						
25152	Oosterhof, F.	Oosterhof, F.				18	https://rkd.nl/explore/artists/60713	man	1951-08-19T23:00:00Z	1951-08-19T23:00:00Z	NIJVERDAL			
25154	Meyer, G.	Meyer, G.				29	https://rkd.nl/explore/artists/55730	man	1937-03-12T23:00:00Z	1937-03-12T23:00:00Z	GRONINGEN			
25158	Bund, Mori	Bund, Mori	100.0	https://data.rkd.nl/artists/14029	14029	27		man	1946	1946	UTRECHT			
25159	Walvoort, A.	Walvoort, A.				5	https://rkd.nl/explore/artists/82797	vrouw	1956-01-30T23:00:00Z	1956-01-30T23:00:00Z	WINTERSWIJK			
25162	Teniers, David	Teniers, David (I)	88.0	https://data.rkd.nl/artists/76785	76785	31		man	1610-12-15	1610-12-15	ANTWERPEN	1690-02-25	1690-02-25	BRUSSEL
25165	Königszelt AG, Porzellanfabrik	Königszelt AG, Porzellanfabrik				1		niet van toepassing	1870	1870	Königszelt			
25166	Wedgwood & Sons Ltd., J.	Wedgwood & Sons Ltd., J.				65		niet van toepassing	1759	1759	Burslem			
25168	Stevens, T.J.M.	Stevens, T.J.M.				8	https://rkd.nl/explore/artists/75177	man	1926-08-04T23:00:00Z	1926-08-04T23:00:00Z	TILBURG			
25170	Heyden, J. van der (1637)	Heyden, J. van der (1637)				8		man	1637	1637	GORINCHEM	1712-09-28	1712-09-28	Amsterdam
25179	Goudzwaard, P. van	Goudzwaard, P. van				147	https://rkd.nl/explore/artists/33003	man	1929-07-11T23:00:00Z	1929-07-11T23:00:00Z	Den Haag	1983-11-27T23:00:00Z	1983-11-27T23:00:00Z	Den Haag
25180	Mappin & Webb	Mappin & Webb				7		niet van toepassing	1863	1863	Sheffield			
25181	Zwiers, Henri Timo	Zwiers, Henri Timo				2	https://rkd.nl/explore/artists/86775	man	1900	1900		1992	1992	Haarlem
25184	Quee, M.J.	Quee, M.J.				158	https://rkd.nl/explore/artists/65218	man	1936-03-22T23:00:00Z	1936-03-22T23:00:00Z	Den Haag			
25185	Hoytema, T. van	Hoytema, T. van				9	https://rkd.nl/explore/artists/39095	man	1863-12-18	1863-12-18	Den Haag	1917-08-27T22:00:00Z	1917-08-27T22:00:00Z	Den Haag
25186	Houwelingen, H.J. van	Houwelingen, H.J. van				1	https://rkd.nl/explore/artists/40074	man	1957-02-20T23:00:00Z	1957-02-20T23:00:00Z	HARLINGEN			
25188	Cozijnsen, A.J.	Cozijnsen, A.J.				13	https://rkd.nl/explore/artists/18908	man	1917-05-30T22:00:00Z	1917-05-30T22:00:00Z	Den Haag	1969-07-04T23:00:00Z	1969-07-04T23:00:00Z	Den Haag
25191	Belem, Saul	Belem, Saul	100.0	https://data.rkd.nl/artists/6127	6127	141		man	1944-06-15T22:00:00Z	1944-06-15T22:00:00Z	VENRAY			
25192	Loo, P. van	Loo, P. van				3	https://rkd.nl/explore/artists/50790	man	1905-04-17T23:00:00Z	1905-04-17T23:00:00Z	WINSUM	1991-06-24T22:00:00Z	1991-06-24T22:00:00Z	HAREN
25194	Spilberg, J. II	Spilberg, J. II				2	https://rkd.nl/explore/artists/74331	man	1619-04-30	1619-04-30	DUSSELDORF	1690-08-10	1690-08-10	DUSSELDORF
25195	Jelles-Schepers, N.J.	Jelles-Schepers, N.J.				6		vrouw	1935-01-20T23:00:00Z	1935-01-20T23:00:00Z	Maracaibo			
25196	Schulman, D.	Schulman, D.				9	https://rkd.nl/explore/artists/71321	man	1881-10-31	1881-10-31	Hilversum	1966-10-20T23:00:00Z	1966-10-20T23:00:00Z	Laren NH
25197	Meerdink, R.	Meerdink, R.				12		vrouw	1948	1948				
25199	Andriessen, C.C.J.	Andriessen, C.C.J.				338	https://rkd.nl/explore/artists/1794	man	1940-03-19T23:00:00Z	1940-03-19T23:00:00Z	WAGENINGEN			
