Term in CSV,Other Term in CSV,Similarity Score
Beschermd gezicht,Beschermd dorpsgezicht,87
Beschermd gezicht,Beschermd stadsgezicht,87
Stadsgezicht,stadsgezichten,85
Wereldtentoonstelling,wereldtentoonstellingen,91
Tentoonstelling,Tentoonstellingen,94
Feest,eest,89
Monumentenwet,Monumentenwacht,86
Monumentenwet,Monumentenrecht,86
Amsterdamse School,Amsterdamse school,94
straatnaam,straatnamen,86
Verwering,Verering,94
Verwering,Vererving,89
Verwering,Verwerking,95
bierbrouwerij,bierbrouwerijen,93
restaurant,Wegrestaurant,87
restaurant,restaurants,95
Kartering,Karteringen,90
Bakhuis,pakhuis,86
Bakhuis,Dakhuis,86
Bakhuis,Bakhuisje,88
bakkerij,bakkerijen,89
Dakconstructie,Draagconstructie,87
Dakconstructie,constructies,85
Dakconstructie,Dakconstructies,97
Dakconstructie,Draaiconstructie,87
Dakconstructie,Balkconstructie,90
Dakconstructie,Kapconstructie,86
maaswerk,maalwerk,88
Zuivelfabriek,Zilverfabriek,85
Zuivelfabriek,zuivelfabrieken,86
boterfabriek,Mosterdfabriek,85
boterfabriek,boterfabrieken,92
wierookvat,wierookvaten,91
Eiland,Eland,91
verdedigingswerk,verdedigingswerken,94
verdedigingswerk,Verdedigings-werken,86
branderij,branderijen,90
Glasbouw,Vlasbouw,88
grafkelder,grafkelders,95
Theehuis,Teerhuis,88
basiliek,basilieken,89
stadspoort,stadspoorten,91
Poortgebouw,Postgebouw,86
Metselteken,Metselaarsteken,85
Bodemkartering,Bodemkaarten,85
datering,Catering,88
Kamer,Kamers,91
spoorweg,spoorwegen,89
Tram,Tam,86
Ambt,Abt,86
pottenbakkerij,Pottenbakker,85
pottenbakkerij,pottenbakkerijen,93
pottenbakkerij,pottenbakkersschijf,85
Postmodernisme,postmodernisme,93
paddestoel,paddestoelen,91
Draagconstructie,Dakconstructie,87
Draagconstructie,Draaiconstructie,94
Houtconstructie,Bouwconstructie,87
Houtconstructie,Houtconstructies,97
uitkijktoren,uitkijktorens,96
Warenhuizen,warenhuizen,91
Warenhuizen,karnhuizen,86
Warenhuizen,armenhuizen,91
hofje,hofjes,91
Parochie,Parochies,94
kazerne,kazernes,93
ruïne,ruïnes,91
Dorpsgezicht,Dorpsgezichten,92
Hoogveen,Hoogvenen,94
Leerindustrie,Verfindustrie,85
Leerindustrie,Likeurindustrie,86
Leerindustrie,Lederindustrie,96
klokkengieterij,Klokkengieter,86
klokkengieterij,klokkengieterijen,94
jachtslot,jachtsloten,90
Gedenkteken,Gedenktekens,96
Gedenkteken,Gedenkstenen,87
Gedenkteken,gedenktekens,87
Gerechtsgebouw,gerechtsgebouwen,87
zendmast,zendmasten,89
Stempelconstructie,Koepelconstructie,86
Stempelconstructie,Steenconstructie,88
papiermolen,papiermolens,96
papiermolen,witpapiermolens,85
papiermolen,papierpetmolens,85
pleisterwerk,pleisterwerken,92
droogmakerij,Droogmakerijen,85
Benzinestation,benzinestations,90
Metriek stelsel,Metrieke stelsel,97
Financiering,Financien,86
magazijn,magazijnen,89
Pui,Puin,86
Vicaris,Vicarie,86
Meesterteken,meestertekens,88
