Term in CSV|Other Term in CSV|Percentage Match
donjon|donjons|85.71428571428572
tunnel|tunnels|85.71428571428572
kaarsenfabriek|kaarsenfabrieken|87.5
Rouwbord|rouwbord|87.5
parochiekerk|parochiekerken|85.71428571428572
Timmerwerf|Timmerwerk|90.0
Vervuiling|Verzuiling|90.0
leerlooierij|leerlooierijen|85.71428571428572
vloerconstructie|vloerconstructies|94.11764705882352
woonkazerne|woonkazernes|91.66666666666666
café-restaurant|café-restaurants|93.75
café-restaurant|Café-restaurant|93.33333333333333
sierbestrating|sierbestratingen|87.5
parlementsgebouw|parlementsgebouwen|88.88888888888889
Buurschap|Buurtschap|90.0
Steengroeve|Steengroeven|91.66666666666666
hoogspanningsmast|hoogspanningsmasten|89.47368421052632
garage|garages|85.71428571428572
tolhuis|dolhuis|85.71428571428572
Brugconstructie|Bouwconstructie|86.66666666666667
Brugconstructie|Boogconstructie|86.66666666666667
Gemeentewapen|Gemeentewapens|92.85714285714286
reliekschrijn|reliekschrijnen|86.66666666666667
wolkenkrabber|wolkenkrabbers|92.85714285714286
tuchthuis|Luchthuis|88.88888888888889
elektriciteitscentrale|Electriciteitscentrale|90.9090909090909
elektriciteitscentrale|elektriciteitscentrales|95.65217391304348
melkwinkel|melkwinkels|90.9090909090909
graftombe|graftomben|90.0
zendstation|zendstations|91.66666666666666
Protestantse kerk|Protestantse kerken|89.47368421052632
Acrylhars|Akrylhars|88.88888888888889
Graansilo|graansilo|88.88888888888889
Karmelieten|Karmelietes|90.9090909090909
gymnasium|gymnasiums|90.0
Keramische industrie|Grafische industrie|85.0
Walhuis|Washuis|85.71428571428572
azijnfabriek|azijnfabrieken|85.71428571428572
urinoir|urinoirs|87.5
Reparatie|Reparaties|90.0
Zoutindustrie|Houtindustrie|92.3076923076923
Koorafsluiting|Koorsluiting|85.71428571428572
Lodewijk-XVI-stijl|Lodewijk-XIII-stijl|89.47368421052632
Lodewijk-XVI-stijl|Lodewijk-XIV-stijl|88.88888888888889
Lodewijk-XVI-stijl|Lodewijk-XV-stijl|94.44444444444444
Lodewijk-XVI-stijl|Lodewijk XVI-stijl|94.44444444444444
Voetveeg|Voetveer|87.5
Hijswerktuig|Hijswerktuigen|85.71428571428572
aardewerkfabriek|aardewerkfabrieken|88.88888888888889
Havezathe|Havezate|88.88888888888889
Chemische-industrie|Chemische industrie|94.73684210526316
Keuken|Keukens|85.71428571428572
