Term in CSV|Other Term in CSV|Percentage Match
Monumentenbeleid|Monumentenbeheer|81.25
Natuurbeheer|natuurbeheer|91.66666666666666
archeologische monumentenzorg|Archeologische monumentenkaart|83.33333333333334
archeologische monumentenzorg|Archeologische monumenten|82.75862068965517
demografie|geografie|80.0
demografie|Tomografie|80.0
dijkversterking|dijkverbetering|80.0
Cultuurhistorische waarde|Cultuurhistorische waardenkaart|80.64516129032258
Cultuurhistorische waarde|cultuurhistorische waarden|92.3076923076923
Cultuurhistorische waarde|Cultuurhistorische analyse|80.76923076923077
Stad|Stand|80.0
Uiterwaard|Uiterwaarden|83.33333333333334
Stedelijke ontwikkeling|prestedelijke ontwikkeling|84.61538461538461
planologie|palynologie|81.81818181818181
cultuurhistorie|Natuurhistorie|80.0
cultuurhistorie|Cultuuhistorie|86.66666666666667
Stadsrand|Stadsbrand|90.0
Dorpsrand|dorpsbrand|80.0
Landinrichting|Landrichting|85.71428571428572
Belasting|Belastingen|81.81818181818181
Kroniek|kroniek|85.71428571428572
mandenmakerij|mandenmakerijen|86.66666666666667
Gilde|Gilden|83.33333333333334
Terrazzo|Verrazzo|87.5
Volkshuisvesting|Rijkshuisvesting|81.25
thermen|termen|85.71428571428572
thermen|hermen|85.71428571428572
Kunsthistorisch onderzoek|Bouwhistorisch onderzoek|80.0
Kunsthistorisch onderzoek|Kleurhistorisch onderzoek|84.0
Kunsthistorisch onderzoek|tuinhistorisch onderzoek|84.0
Waterschap|Wetenschap|80.0
Waterschap|Waterschade|81.81818181818181
Vestingwerk|Vestingwerken|84.61538461538461
Monumentenwacht|Monumentenwet|80.0
Monumentenwacht|Monumentenrecht|86.66666666666667
Geschiedschrijving|Geschiedschrijvers|83.33333333333334
Legermuseum|Leesmuseum|81.81818181818181
Ministerie van WVC|Ministerie van VWS|83.33333333333334
Ministerie van WVC|Ministerie van LNV|83.33333333333334
Hoogheemraadschap|Hoogheemraadschappen|85.0
schuilkerk|schuurkerk|80.0
schuilkerk|schuilkerken|83.33333333333334
Gemeentearchief|Gemeentearchitect|82.35294117647058
Bouwhistorisch onderzoek|Kunsthistorisch onderzoek|80.0
Bouwhistorisch onderzoek|Kleurhistorisch onderzoek|84.0
Bouwhistorisch onderzoek|tuinhistorisch onderzoek|83.33333333333334
Kunsttijdschrift|kunsttijdschriften|83.33333333333334
Kerkgeschiedenis|Zeegeschiedenis|81.25
laboratorium|laboratoria|83.33333333333334
klokkestoel|klokkenstoel|91.66666666666666
klokkestoel|klokkestoelen|84.61538461538461
Bouwtechniek|Bouwtechnieken|85.71428571428572
Architectuurgeschiedenis|Architectuurbeschildering|80.0
Informatie|Reformatie|80.0
Informatie|Deformatie|80.0
Informatie|informatie)|81.81818181818181
tuinarchitectuur|tuinarchitect|81.25
Stedebouwkundige|Stedebouwkunde|87.5
tuinarchitect|tuinarchitectuur|81.25
landschapsarchitecten|landschapsarchitectuur|86.36363636363636
landschapsarchitecten|Landschapsarchitect|85.71428571428572
binnenhuisarchitecten|binnenhuisarchitectuur|86.36363636363636
Kerkelijke monumentenzorg|Landelijke monumentenzorg|84.0
Gewapend beton|Bewapend beton|92.85714285714286
sociale geschiedenis|Lokale geschiedenis|85.0
sociale geschiedenis|Koloniale geschiedenis|81.81818181818181
Toren|boren|80.0
Toren|oren|80.0
Toren|toren|80.0
Toren|koren|80.0
landschapsbeheer|Landschapbeheer|87.5
Kunst|Kust|80.0
Kunst|kunst|80.0
Vaderlandse Geschiedenis|Vaderlandsche Geschiedenis|92.3076923076923
Kruisheer|Kruisheren|80.0
Kartografie|cartografie|90.9090909090909
Monumentenjaar|Monumentenraad|85.71428571428572
geografie|demografie|80.0
parken|Varken|83.33333333333334
parken|harken|83.33333333333334
parken|varken|83.33333333333334
parken|parten|83.33333333333334
parken|barken|83.33333333333334
ministerie|ministeries|90.9090909090909
Houtconservering|Fotoconservering|81.25
Interieur|Interieurs|90.0
Interieur|Interieuren|81.81818181818181
Subsidie|Subsidies|88.88888888888889
Bouwmateriaal|Botmateriaal|84.61538461538461
Bouwconstructie|Houtconstructie|86.66666666666667
Bouwconstructie|Brugconstructie|86.66666666666667
Bouwconstructie|Boogconstructie|86.66666666666667
Bouwconstructie|Bouwinstructie|86.66666666666667
Bouwconstructie|bouwconstructies|87.5
Bouwconstructie|Houtconstructies|81.25
Bouwconstructie|Balkconstructie|80.0
fundering|funderingen|81.81818181818181
Schilderij|Schilderijen|83.33333333333334
Schilderij|Schilderen|80.0
begraafplaats|begraafplaatsen|86.66666666666667
Woning|Honing|83.33333333333334
Landhuizen|danshuizen|80.0
Landhuizen|badhuizen|80.0
Landhuizen|landhuizen|90.0
Steenhouwer|Steenhouwerij|84.61538461538461
Steenhouwer|Steenhouwwerk|84.61538461538461
Steenhouwer|Steenhouwers|91.66666666666666
Volksgebruik|Volksgebruiken|85.71428571428572
Volkscultuur|Volskcultuur|83.33333333333334
Kerkelijke kunst|Kerkelijke bouwkunst|80.0
Kerkelijke kunst|Kerkelĳke kunst|87.5
cottage|cottages|87.5
Verwarming|Verwering|80.0
Verwarming|Vervorming|80.0
Verwarming|Verwerking|80.0
stadsgeschiedenis|onstaansgeschiedenis|80.0
Natuurbescherming|Cultuurbescherming|83.33333333333334
Schuren|Scheuren|87.5
Schuren|schuren|85.71428571428572
landschapsarchitectuur|landschapsarchitecten|86.36363636363636
landschapsarchitectuur|Landschapsarchitect|81.81818181818181
Groenvoorziening|Groenvoorzieningen|88.88888888888889
oranjerie|orangerie|88.88888888888889
Wonen|konen|80.0
Wonen|conen|80.0
Wonen|jonen|80.0
Klei-industrie|Kledingindustrie|81.25
grafmonument|grafmonumenten|85.71428571428572
Bedrijfsgeschiedenis|Krijgsgeschiedenis|80.0
Kadaster|Kadasters|88.88888888888889
Kunstnijverheid|Huisnijverheid|80.0
Volkskunde|Volkskunst|80.0
Volkskunde|Volkenkunde|81.81818181818181
Milieueffectrapportage|Milieueffectrapportages|95.65217391304348
Carillon|Carillons|88.88888888888889
bestrating|Bestraling|80.0
bestrating|bestratingen|83.33333333333334
Bouwnormalisatie|Bouworganisatie|81.25
stolpboerderij|stelpboerderijen|81.25
stolpboerderij|stolpboerderijen|87.5
Zeegeschiedenis|Kerkgeschiedenis|81.25
Zeegeschiedenis|bosgeschiedenis|80.0
spoorwegen|spoorweg|80.0
spoorwegen|spoorwielen|81.81818181818181
kabinetorgel|kabinet-orgel|92.3076923076923
Kerkorgels|Kerkorgel|90.0
Landschapsparken|Landschapsplannen|82.35294117647058
Landschapsparken|Landschapspark|87.5
Landschapsstijl|landschapsstijl|93.33333333333333
Overstroming|Overstromingen|85.71428571428572
pakhuis|Bakhuis|85.71428571428572
pakhuis|Dakhuis|85.71428571428572
Gevelteken|Geveltoren|80.0
Gevelteken|Gevelstenen|81.81818181818181
Gevelteken|Geveltekens|90.9090909090909
Gevelteken|Gevelsteen|80.0
Havezate|Havezathe|88.88888888888889
kantoorgebouw|kantoorgebouwen|86.66666666666667
Inpassing|Aanpassing|80.0
Romaanse bouwkunst|Javaanse bouwkunst|83.33333333333334
Romaanse bouwkunst|Romeinse bouwkunst|88.88888888888889
Romaanse bouwkunst|Neoromaanse bouwkunst|80.95238095238095
coupure|coupuren|87.5
metrostation|metrostations|92.3076923076923
stadsvilla|stadsvilla's|83.33333333333334
Kerktoren|kerktorens|80.0
Kerktoren|Kerkdorpen|80.0
Wereldtentoonstelling|wereldtentoonstellingen|86.95652173913044
Tentoonstelling|Tentoonstellingen|88.23529411764706
Feest|eest|80.0
Monumentenwet|Monumentenwacht|80.0
Monumentenwet|Monumentenrecht|80.0
slachthuis|jachthuis|80.0
slachthuis|Wachthuis|80.0
Amsterdamse School|Amsterdamse school|94.44444444444444
ziekenhuis|Vinkenhuis|80.0
Verwering|Verwarming|80.0
Verwering|Verering|88.88888888888889
Verwering|Verwerking|90.0
bierbrouwerij|bierbrouwerijen|86.66666666666667
restaurant|restaurants|90.9090909090909
Kartering|Karteringen|81.81818181818181
Bakhuis|pakhuis|85.71428571428572
Bakhuis|Dakhuis|85.71428571428572
bakkerij|bakkerijen|80.0
Dakconstructie|Draagconstructie|81.25
Dakconstructie|Kapconstructies|80.0
Dakconstructie|Dakconstructies|93.33333333333333
Dakconstructie|Draaiconstructie|81.25
Dakconstructie|Balkconstructie|86.66666666666667
Dakconstructie|Kapconstructie|85.71428571428572
maaswerk|maalwerk|87.5
Zuivelfabriek|zuivelfabrieken|80.0
boterfabriek|boterfabrieken|85.71428571428572
wierookvat|wierookvaten|83.33333333333334
Eiland|Eland|83.33333333333334
verdedigingswerk|verdedigingswerken|88.88888888888889
branderij|branderijen|81.81818181818181
Glasbouw|Vlasbouw|87.5
grafkelder|grafvelden|80.0
grafkelder|grafkelders|90.9090909090909
basiliek|basilieken|80.0
stadspoort|stadspoorten|83.33333333333334
Poortgebouw|sportgebouw|81.81818181818181
Poortgebouw|Postgebouw|81.81818181818181
datering|Catering|87.5
Kamer|Kamers|83.33333333333334
spoorweg|spoorwegen|80.0
pottenbakkerij|pottenbakkerijen|87.5
Postmodernisme|postmodernisme|92.85714285714286
paddestoel|paddestoelen|83.33333333333334
Aantasting|Aanpassing|80.0
Draagconstructie|Dakconstructie|81.25
Draagconstructie|Brugconstructie|81.25
Draagconstructie|Staalconstructie|81.25
Draagconstructie|Draaiconstructie|93.75
Houtconstructie|Bouwconstructie|86.66666666666667
Houtconstructie|Brugconstructie|80.0
Houtconstructie|Boogconstructie|80.0
Houtconstructie|bouwconstructies|81.25
Houtconstructie|Houtconstructies|93.75
Vocht|tocht|80.0
uitkijktoren|uitkijktorens|92.3076923076923
IJzerconstructie|vloerconstructie|81.25
Warenhuizen|herenhuizen|81.81818181818181
Warenhuizen|warenhuizen|90.9090909090909
Warenhuizen|karnhuizen|81.81818181818181
Warenhuizen|armenhuizen|81.81818181818181
hofje|hofjes|83.33333333333334
Parochie|Parochies|88.88888888888889
kazerne|kazernes|87.5
ruïne|ruïnes|83.33333333333334
ruïne|Ruïne|80.0
Dorpsgezicht|Dorpsgezichten|85.71428571428572
Hoogveen|Hoogvenen|88.88888888888889
Leerindustrie|Likeurindustrie|80.0
Leerindustrie|Lederindustrie|92.85714285714286
klokkengieterij|Klokkengieter|80.0
klokkengieterij|klokkengieterijen|88.23529411764706
klokkengieterij|Klokkengieters|80.0
jachtslot|jachtsloten|81.81818181818181
Gedenkteken|Gedenktekens|91.66666666666666
Gedenkteken|Gedenkstenen|83.33333333333334
Gedenkteken|gedenktekens|83.33333333333334
Gerechtsgebouw|gerechtsgebouwen|81.25
zendmast|zendmasten|80.0
Stempelconstructie|Koepelconstructie|83.33333333333334
Stempelconstructie|Steenconstructie|83.33333333333334
papiermolen|papiermolens|91.66666666666666
pleisterwerk|pleisterwerken|85.71428571428572
Landmeting|Landmeten|80.0
Benzinestation|benzinestations|86.66666666666667
Metriek stelsel|Metrieke stelsel|93.75
magazijn|magazijnen|80.0
Vicaris|Vicarie|85.71428571428572
Meesterteken|meestertekens|84.61538461538461
Orgelmaker|Orgelmakerij|83.33333333333334
Orgelmaker|Orgelmakers|90.9090909090909
textielfabriek|textiefabrieken|80.0
minderbroederklooster|minderbroederkloosters|95.45454545454545
Toegangspoort|toegangspoorten|80.0
Architectuurtheorie|Architectuurtheorieën|90.47619047619048
schuurkerk|schuilkerk|80.0
schuurkerk|schuurkerken|83.33333333333334
Renaissance|renaissance|90.9090909090909
Universiteit|diversiteit|83.33333333333334
levensmiddelenfabriek|levensmiddelenfabrieken|91.30434782608697
Toponymies|Toponymie|90.0
steenoven|steenoren|88.88888888888889
steenoven|steenovens|90.0
steenoven|steenboren|80.0
lantaarnpaal|lantarenpaal|83.33333333333334
houtzaagmolen|houtzaagmolens|92.85714285714286
pastorie|pastorieën|80.0
State|Statie|83.33333333333334
State|States|83.33333333333334
pompstation|pompstations|91.66666666666666
Woonwijk|Woonwijken|80.0
Tabernakel|tabernakel|90.0
Loofhut|Loofhout|87.5
telegraafkantoor|telegraafkantoren|82.35294117647058
Huismerk|Huiswerk|87.5
dierentuin|dierenhuid|80.0
dierentuin|dierentuinen|83.33333333333334
Rijstpellerij|rijstpellerijen|80.0
tegelbakkerij|tegelbakkerijen|86.66666666666667
Trekschuit|Trekschuiten|83.33333333333334
wagenmakerij|wagenmakerijen|85.71428571428572
straatverlichting|straatverlichtingen|89.47368421052632
pannenfabriek|dakpannenfabriek|81.25
pannenfabriek|Linnenfabriek|84.61538461538461
Reizen|Reuzen|83.33333333333334
klokkenspel|klokkenstoel|83.33333333333334
arbeiderswoning|arbeiderswoningen|88.23529411764706
alcoholfabriek|alcoholfabrieken|87.5
Barok|barok|80.0
Wandtapijt|Wandtapijten|83.33333333333334
Bouwplaats|Bouwplaat|90.0
Bouworganisatie|Bouwnormalisatie|81.25
Wolfabriek|Wasfabriek|80.0
Valkenhuis|Lakenhuis|80.0
Valkenhuis|Vinkenhuis|80.0
Epidemie|Epidemieen|80.0
parkeergarage|parkeergarages|92.85714285714286
Bejaardenhuis|bejaardentehuis|80.0
Vakwerk|Lakwerk|85.71428571428572
Vakwerk|Dakwerk|85.71428571428572
Pompgebouw|Postgebouw|80.0
Kapconstructies|Dakconstructie|80.0
Kapconstructies|constructies|80.0
Kapconstructies|Dakconstructies|86.66666666666667
Kapconstructies|Reconstructies|80.0
Kapconstructies|Kapconstructie|93.33333333333333
bankgebouw|bankgebouwen|83.33333333333334
Plafond|Plafonds|87.5
Industriële vormgeving|industrile vormgeving|90.9090909090909
Luchthaven|jachthaven|80.0
Luchthaven|luchthavens|81.81818181818181
technische school|technische scholen|83.33333333333334
stal|staal|80.0
Landschapstuin|Landschapshuis|85.71428571428572
Beuk|Breuk|80.0
Geluidswal|Geluidswand|81.81818181818181
Landschapsbehoud|Landschapsbeleid|81.25
Landschapsbehoud|Landschapsbouw|81.25
grenssteen|grensstenen|90.9090909090909
laan|slaan|80.0
glasblazerij|glasblazerijen|85.71428571428572
Levensmiddelenindustrie|Voedingsmiddelenindustrie|80.0
kuiperij|kuiperijen|80.0
Waterpomp|Waterpompen|81.81818181818181
gevellantaarn|gevellantaarns|92.85714285714286
Werfkelder|turfkelder|80.0
Stollingsgesteente|Stollingsgesteenten|94.73684210526316
Stollingsgesteente|stollingsgesteenten|89.47368421052632
waterschapshuis|waterschapshuizen|82.35294117647058
gemeenlandshuis|gemeenlandshuizen|82.35294117647058
Bedrijfsleven|Bedrijfsleer|84.61538461538461
motel|mortel|83.33333333333334
motel|motels|83.33333333333334
boerentuinen|dierentuinen|83.33333333333334
machinefabriek|machinefabrieken|87.5
flatgebouw|flatgebouwen|83.33333333333334
grafveld|grafvelden|80.0
visvijver|visvijvers|90.0
kalkoven|kalkovens|88.88888888888889
Aardbeving|Aardbevingen|83.33333333333334
sacristie|sacristieen|81.81818181818181
tempel|tempels|85.71428571428572
Tuinbouw|Tuingebouw|80.0
moestuin|moestuinen|80.0
moestuin|(moes)tuin|80.0
Diaconie|Diakonie|87.5
Statie|State|83.33333333333334
sanatorium|sanatoria|80.0
Mijnbouw|Mijngebouw|80.0
Mijnbouw|Wijnbouw|87.5
Rosmolen|Rosmolens|88.88888888888889
Rosmolen|rosmolen|87.5
Kust|Kunst|80.0
Houtsnede|houtsnedes|80.0
Joden|boden|80.0
Handmerk|Handwerk|87.5
Politie|Politiek|87.5
Roosvenster|Koorvenster|81.81818181818181
Roosvenster|Boogvenster|81.81818181818181
Posterijen|mouterijen|80.0
Posterijen|roterijen|80.0
Woonschool|noodschool|80.0
huiskerk|huiskerken|80.0
gashouder|gashouders|90.0
winkelpui|winkelpuien|81.81818181818181
Wapenbord|wapenbord|88.88888888888889
logement|logementen|80.0
Zuivelindustrie|Suikerindustrie|80.0
stormvloedkering|stormvloedkeringen|88.88888888888889
Mythologie|Metrologie|80.0
Mythologie|Mycologie|80.0
Mythologie|Myologie|80.0
Mythologie|Pathologie|80.0
donjon|donjons|85.71428571428572
tunnel|tunnels|85.71428571428572
kaarsenfabriek|kaarsenfabrieken|87.5
Rouwbord|Rouwborden|80.0
Rouwbord|rouwbord|87.5
parochiekerk|parochiekerken|85.71428571428572
Timmerwerf|Timmerwerk|90.0
Vervuiling|Verzuiling|90.0
Vissershuis|Vissershut|81.81818181818181
Tiend|Tiende|83.33333333333334
Pacht|jacht|80.0
Pacht|Macht|80.0
Pacht|vacht|80.0
leerlooierij|leerlooierijen|85.71428571428572
vloerconstructie|IJzerconstructie|81.25
vloerconstructie|vloerconstructies|94.11764705882352
Stadskern|Stadskernen|81.81818181818181
Stadsrecht|Stadsrechten|83.33333333333334
Stadsrecht|Staatsrecht|81.81818181818181
Landelijke bouwkunst|Kerkelijke bouwkunst|80.0
woonkazerne|woonkazernes|91.66666666666666
café-restaurant|café-restaurants|93.75
café-restaurant|Café-restaurant|93.33333333333333
sierbestrating|sierbestratingen|87.5
parlementsgebouw|Departementsgebouw|83.33333333333334
parlementsgebouw|parlementsgebouwen|88.88888888888889
Buurschap|Buurtschap|90.0
Steengroeve|Steengroeven|91.66666666666666
hoogspanningsmast|hoogspanningsmasten|89.47368421052632
garage|garages|85.71428571428572
tolhuis|dolhuis|85.71428571428572
Kerkenkruis|Kerkkruis|81.81818181818181
Straatnaambord|straatnaamborden|81.25
Zijde-industrie|Pijpenindustrie|80.0
Brugconstructie|Bouwconstructie|86.66666666666667
Brugconstructie|Draagconstructie|81.25
Brugconstructie|Houtconstructie|80.0
Brugconstructie|Boogconstructie|86.66666666666667
Brugconstructie|Balkconstructie|80.0
kegelbaan|kegelbanen|80.0
Gemeentewapen|Gemeentewapens|92.85714285714286
Paalwoning|Paalwoningen|83.33333333333334
reliekschrijn|reliekschrijnen|86.66666666666667
wolkenkrabber|wolkenkrabbers|92.85714285714286
tuchthuis|Luchthuis|88.88888888888889
elektriciteitscentrale|Electriciteitscentrale|90.9090909090909
elektriciteitscentrale|elektriciteitscentrales|95.65217391304348
melkwinkel|melkwinkels|90.9090909090909
beenderhuis|eendenhuis|81.81818181818181
Staalbouw|Stapelbouw|80.0
Grafschrift|Grafschriften|84.61538461538461
graftombe|graftomben|90.0
zendstation|zendstations|91.66666666666666
Timmerfabriek|timmerfabrieken|80.0
Protestantse kerk|Protestantse kerken|89.47368421052632
Acrylhars|Akrylhars|88.88888888888889
Perspectief|Porspectie|81.81818181818181
Woontoren|woontorens|80.0
Koorbank|Koorbanken|80.0
Graansilo|graansilo|88.88888888888889
Karmelieten|Karmelietes|90.9090909090909
gymnasium|gymnasiums|90.0
