term,use_count,N
Snelwegen,20,1
architectuurbeleid,43,1
gemeentelijke monumentenzorg,199,1
Monumentenbeleid,208,1
provinciale monumentenzorg,53,1
cultuurbeleid,324,1
herinrichting,92,1
Natuurbeheer,62,1
archeologische monumentenzorg,102,1
stadsvernieuwing,746,1
Cultuurhistorisch toerisme,89,1
archeologie,5042,1
demografie,199,1
bevolking,67,1
Woningbouw,607,1
VINEX,41,1
Verstedelijking,87,1
Deltaplan (waterwerken),31,1
dijkversterking,69,1
Waterbeheersing,31,1
natuurbehoud,41,1
Stadsontwikkeling,421,1
Vleermuis,32,1
Cultuurhistorische waarde,209,1
Ruimtelijke kwaliteit,47,1
Ruimtelijke planning,1,1
Welstandszorg,26,1
cultureel erfgoed,527,1
Verkeer,93,1
weg,169,1
Welstandstoezicht,59,1
industriële archeologie,1,1
Archeologiebeleid,38,1
landbouw,1255,1
vervoer,41,1
infrastructuur,630,1
Stad,473,1
Platteland,91,1
kunstgeschiedenis,118,1
architectuur,661,1
Ruimtelijke inrichting,148,1
Ruimtelijk beleid,52,1
cultuur,267,1
Eenentwintigste eeuw,1,1
ruimtelijke ontwikkeling,109,1
economie,581,1
Milieubeleid,17,1
Cultuurwaarde,7,1
milieu,531,1
internet,90,1
Uiterwaard,33,1
Stedelijke ontwikkeling,138,1
Wetgeving,477,1
planologie,721,1
Geografisch informatiesysteem,24,1
cultuurhistorie,225,1
Architectuurprijs,20,1
Landschappen,2838,1
Stadsrand,27,1
Dorpsrand,3,1
Nationaal landschap,32,1
recreatie,250,1
Natuur,186,1
Landinrichting,115,1
Almanak,9,1
Kolonie,76,1
Belasting,43,1
Kroniek,2,1
mandenmakerij,14,1
Gilde,1,1
overheid,48,1
Restauratiefonds,9,1
Rijksfinanciën,6,1
Stukadoor,9,1
Terrazzo,103,1
Steengaas,1,1
Volkshuisvesting,335,1
Fabriek,1802,1
Veiling,109,1
thermen,1,1
Bouwnijverheid,30,1
Schildersbedrijf,72,1
Kunsthistorisch onderzoek,14,1
Waterschap,206,1
Streekarchief,11,1
monumentenzorg,2443,1
Stedelijke netwerken,4,1
Vestingwerk,470,1
Ingenieur,30,1
toerisme,444,1
Monumentenwacht,30,1
Geschiedschrijving,139,1
scheepsarcheologie,384,1
erfgoed,152,1
Cultuurbehoud,110,1
Genealogie,144,1
Militaire geschiedenis,61,1
Legermuseum,2,1
wapenmagazijn,7,1
Financien,46,1
Ministerie van WVC,4,1
scheepvaart,441,1
Rechtsgeschiedenis,147,1
Conservering,1982,1
Openluchtrecreatie,9,1
Hoogheemraadschap,92,1
stadsarcheologie,1399,1
Numismatiek,589,1
bodemonderzoek,26,1
Letterkunde,20,1
schuilkerk,162,1
Grondbeleid,8,1
Muziek,78,1
Gemeentearchief,133,1
Opleiding,51,1
Culturele samenwerking,6,1
bouwkunst,1093,1
Bouwhistorisch onderzoek,2289,1
Kunsttijdschrift,3,1
Oorlogsschade,540,1
Bisdom,49,1
Kerkarchief,15,1
Kerkgeschiedenis,371,1
laboratorium,227,1
Industrie,489,1
Nijverheid,10,1
klokkestoel,2,1
borg,439,1
Bouwtechniek,35,1
Architectuurgeschiedenis,143,1
Informatie,29,1
Dood,32,1
Begrafenis,26,1
tuin,30,1
tuinarchitectuur,345,1
Architectenbureau,73,1
Stedebouwkundige,26,1
tuinarchitect,119,1
landschapsarchitecten,68,1
binnenhuisarchitecten,16,1
bouwkunde,1292,1
Onderwijs,287,1
Ontwerp,298,1
Kerkelijke monumentenzorg,29,1
Bouwbedrijf,199,1
Gewapend beton,96,1
Kleur,405,1
sociale geschiedenis,70,1
Toren,99,1
landschapsbeheer,148,1
Boerderij-onderzoek,17,1
Nieuwbouw in oude omgeving,332,1
Monumentencommissie,12,1
Kunst,8,1
Vaderlandse Geschiedenis,45,1
Historische kartografie,4,1
Internationale monumentenzorg,53,1
Kruisheer,12,1
geologie,1646,1
kapellen,2141,1
Moderne Bouwen,15,1
Kartografie,100,1
Monumentenjaar,58,1
Verpleeghuis,134,1
folly,83,1
geografie,1063,1
Oudheidkunde,110,1
parken,1444,1
ministerie,108,1
Glasschilderkunst,211,1
historische geografie,1740,1
Houtconservering,27,1
Woningbouwvereniging,132,1
Interieur,427,1
inrichting,80,1
Woonhuisinterieur,20,1
Subsidie,73,1
Bouwmateriaal,246,1
Bouwconstructie,52,1
Isolatie,125,1
gemeente,27,1
Bestuur,88,1
fundering,579,1
Eredienst,6,1
Liturgie,22,1
Verzinken,8,1
bosbeheer,26,1
Monumentendag,1,1
Waterstaat,123,1
