term,use_count,N
Romeinen,5,1
Nieuwbouw in oude omgeving,87,1
Tras,17,1
Verpleeghuis,2,1
Nijverheid,106,1
Wijwatervat,12,1
Blootleggen,3,1
Karnhuis,31,1
Schuren,23,1
Landhuizen,115,1
kapellen,18,1
Nieuwbouw,3,1
Kapconstructies,12,1
Thermoluminescentie,34,1
Cucuteni-tripolye-groep,2,1
Steenbewerking,1,1
Benzinestation,17,1
Geschiedenisonderwĳs,1,1
Waterbouwkunde,6,1
Muziekinstrumenten,8,1
industriële vormgeving ; Nederland,1,1
Kroonluchters,8,1
Rijksdienst voor het Cultureel Erfgoed,1,1
technieken,96,1
lakken,17,1
bootvormig,1,1
lakken,49,1
lijmen,30,1
sits,4,1
tule,1,1
verven,14,1
objecten,25,1
landschapselementen,47,1
Lourdesgrot,19,1
greppels,56,1
kringgreppels,37,1
grondsporen,10,1
haarden,107,1
hutkommen,14,1
ijzeroer,1,1
afvalkuilen,104,1
haardkuilen,1,1
voorraadkuilen,4,1
paalgaten,7,1
ploegsporen,9,1
pollen,7,1
steigers,633,1
wallen,229,1
waterputten,193,1
wegen,468,1
karresporen,1,2
knuppelwegen,5,1
veenwegen,17,1
bouwelementen,57,1
doksaal,5,1
doopboog,8,1
doophek,47,1
expositietroon,3,1
smuiger,18,1
wapenschild,116,1
gewelven,1109,1
kademuren,34,1
kommen,31,1
pannen,17,1
polders,474,1
potten,3,1
schoenen,12,1
tuinen,2001,1
waaiers,11,1
sporen,24,1
zwaarden,161,1
oren,1,2
mutsen,3,1
scheprad,9,1
schuur,11,1
spanten,9,1
waterloop,43,1
hekwerk,242,1
maalstenen,60,1
waterrad,10,1
molenhuis,18,1
zeilen,248,1
borden,34,1
brillen,2,1
gordingen,1,1
haren,1,1
hoeden,9,1
kantstenen,6,1
kernen,1,1
klingen,1,1
kranen,26,1
lassen,1,1
luiken,22,1
penanten,22,1
pollen,2,1
maalstenen,22,1
metalen,1004,1
monniken,5,1
ringmuren,6,1
roeden,1,1
roosters,2,1
schijven,5,1
slijpstenen,14,1
steken,1,2
tonnen,12,1
toren,23,1
veren,1,1
vijzels,23,1
wervels,2,1
zeilen,4,1
zolderbalken,2,1
dakpannen,6,1
doken,1,1
grafstenen,20,1
vloeren,12,1
funderingen,11,1
muren,58,1
zuilen,1,1
tegels,10,1
vloertegels,63,1
mijlpalen,18,1
coprolieten,6,1
eierschalen,3,1
duikers,3,1
grachten,111,1
havens,128,1
kanalen,30,1
bouwwerken,36,1
boerderijtypen,141,1
keuterijen,10,1
plaggenhutten,187,1
bijgebouwen,386,1
kapbergen,26,1
roedenbergen,1,1
hooibergen,924,1
paraplubergen,1,1
boo,20,1
provinciehuizen,4,1
hondenhokken,1,1
schaapskooien,2,1
bibliotheken,38,1
galeries,2,1
theaters,23,1
schavotten,1,1
hotels,39,1
herbergen,11,1
bankgebouwen,11,1
beursgebouwen,9,1
kantoorgebouwen,20,1
militaire gebouwen,42,1
schuilplaatsen,12,1
kazernes,13,1
soldatenbarakken,1,1
wachtposten,6,1
fabrieken,174,1
pottenbakkerijen,162,1
steenbakkerijen,18,1
gieterijen,12,1
klokkengieterijen,8,1
metaalgieterijen,6,1
hoogovens,2,1
slagerijen,7,1
smederijen,15,1
ververijen,3,1
boezemgemalen,10,1
lijnbanen,2,1
meestoven,1,1
papiermolen,23,1
pelmolen,412,1
poldermolen,1,1
verfmolen,28,1
houtzaagmolen,232,1
beltmolen,933,1
bovenkruier,34,1
onderslagmolen,410,1
paltrokmolen,81,1
standerdmolen,686,1
windmotor,71,1
krijtmolen,15,1
werkplaatsen,86,1
onderwijsgebouwen,14,1
scholen,68,1
kostscholen,3,1
universiteiten,49,1
hijskranen,3,1
pakhuizen,60,1
schuren,41,1
bollenschuren,5,1
postkantoren,336,1
tolhuizen,3,1
religieuze gebouwen,293,1
kapellen,73,1
kathedralen,41,1
parochiekerken,17,1
schuilkerken,11,1
synagogen,91,1
verdedigingswerken,485,1
bunkers,20,1
mottekastelen,25,1
forten,521,1
kazematten,16,1
waterlinies,17,1
loopgraven,6,1
schansen,46,1
stellingen,2,1
sociëteiten,9,1
gasthuizen,13,1
weeshuizen,17,1
thermen,11,1
ziekenhuizen,59,1
leprozenhuizen,5,1
steigers,6,1
waterkeringen,40,1
dammen,2,2
sluizen,82,1
spuisluizen,2,1
uitwateringssluizen,9,1
stormvloedkeringen,5,1
bruggen,77,1
viaducten,3,1
pleinen,28,1
spoorwegen,109,1
wegen,15,1
warenhuizen,8,1
woningen,584,1
cottages,9,1
dijkwoningen,1,1
herenhuizen,23,1
hutten,2,1
paltsen,4,1
ridderhofsteden,112,1
borgen,25,1
havezaten,239,1
graven,203,1
crematiegraven,17,1
dierengraven,26,1
grafkuilen,5,1
inhumatiegraven,24,1
kindergraven,17,1
grafheuvels,476,1
grafkelders,57,1
grafmonumenten,234,1
graftomben,16,1
grafzerken,203,1
galerijen,5,1
galgen,7,1
kaken,1,1
muren,64,1
stadsmuren,19,1
ringmuren,2,1
kerktorens,29,1
schepen,173,1
tempels,124,1
doopvonten,8,1
aardwerken,18,1
bastions,64,1
flanken,1,1
landweren,8,1
beren,4,1
kaapstanders,1,1
kleppen,3,1
scheepshellingen,1,1
scheepswerven,12,1
schuiven,8,1
schuifdeuren,1,1
wachtdeuren,4,1
brinken,1,1
fonteinen,13,1
grensstenen,6,1
heggen,9,1
klokken,64,1
kranen,2,1
kunstwerken,88,1
lantaarns,4,1
mijlpalen,1,1
obelisken,7,1
poorten,9,1
stadspoorten,16,1
waterpoorten,5,1
pompen,1,1
putten,5,1
beerputten,20,1
waterputten,6,1
sculpturen,83,1
uitkijktorens,9,1
vlechtwerken,1,1
hekken,32,1
toegangshekken,336,1
persoonlijke voorwerpen,6,1
brillen,1,2
tassen,2,1
hoeden,1,1
fibulae,354,1
gordel,28,1
kap,1,1
kazuifel,52,1
muts,3,1
klompen,21,1
schoenen,4,1
kleding,6,1
haarnaalden,6,1
hangers,5,1
ringen,7,1
halsringen,10,1
sieraden,608,1
ornamenten,367,1
klokken,19,1
klokkenspel,43,1
hoorn,16,1
naalden,13,1
stempels,158,1
sikkels,18,1
schoppen,4,1
schrabbers,5,1
messen,47,1
boren,12,1
borstels,3,1
scharen,3,1
bijlen,247,1
vuistbijlen,36,1
hielbijlen,5,1
kokerbijlen,8,1
hamerbijlen,14,1
randbijlen,6,1
ploegen,39,1
ploegonderdelen,10,1
hamers,6,1
katrollen,1,1
maalstenen,7,1
wrijfstenen,1,1
priemen,3,1
slijpstenen,3,1
slangen,3,1
kandelaars,2,1
staven,1,1
spijkers,10,1
vingerhoeden,3,1
kranen,1,1
weefgewichten,5,1
kookstenen,1,1
spiegels,7,1
visnetten,6,1
servies,13,1
amforen,97,1
vorken,4,1
vuurstolpen,7,1
knopen,1,2
kralen,53,1
meloenkralen,1,1
hangers,1,1
boren,4,1
hamers,14,1
mokers,4,1
paarden,2,1
ezels,1,1
schaven,29,1
zagen,14,1
goot,1,1
bogen,69,1
geweren,2,1
helmen,89,1
kammen,3,1
munitie,7,1
harnassen,15,1
dolkscheden,4,1
messcheden,2,1
zwaardscheden,17,1
steekwapens,19,1
nieten,4,1
pijlen,1,1
pijlpunten,69,1
vuurwapens,11,1
kogels,1,1
zwaarden,23,1
degens,3,1
sabels,1,1
zwaardgrepen,7,1
koevoeten,2,1
pompen,8,1
uurwerken,143,1
gewichten,36,1
passers,8,1
deksels,1,1
hengsels,1,1
oren,3,1
randen,1,1
voeten,4,1
kokers,1,1
kisten,37,1
tonnen,7,1
potten,22,1
kookpotten,12,1
voorraadpotten,10,1
pispotten,2,1
flessen,42,1
smeltkroezen,6,1
bekers,20,1
pannen,3,1
kannen,4,1
kommen,1,1
schalen,7,1
zeven,1,1
ketels,6,1
manden,14,1
balken,43,1
overlopen,1,1
waterlopen,4,1
deuren,2851,1
bodems,1,1
kielen,3,1
hekken,2,1
spiegels,1,1
sporen,2,1
haken,9,1
pennen,1,1
vissen,74,1
kalven,1,1
kammen,1,1
krommers,2,1
leggers,2,1
stekers,1,1
stutten,2,1
vloeren,289,1
schilden,1,1
druiven,4,1
dollen,1,1
veren,2,1
wanten,1,1
touwen,52,1
paarden,1,1
stroppen,2,1
spillen,8,1
vleugels,1,1
visnetten,15,1
fuiken,4,1
bolders,1,1
klampen,6,1
koningen,1,1
takel,8,1
zwaarden,2,1
zadels,1,1
gaffels,1,1
ovens,55,1
vallen,4,1
zeilen,52,1
katten,1,1
galerijen,1,1
hutten,1,1
tenten,1,1
pothuizen,1,1
kuilen,1,1
kruiwagens,2,1
wielen,3,1
banden,2,1
karren,14,1
kruiwagens,1,1
fietsen,1,1
botters,1,1
boomstamkano's,18,1
fluiten,1,1
galjoenen,1,1
potten,1,1
punters,2,1
waterschepen,1,1
reliekhouder,4,1
hagelkruis,14,1
Maria-altaar,6,1
wijwaterbakje,6,1
Christusbeeld,8,1
Mariabeeld,26,1
Marianum,8,1
Nieuwe Testament,1,1
gedenkboek,1,1
handschrift,1,1
incunabel,1,1
kroniek,3,1
aflaatbrief,1,1
volksprent,1,1
kunst,2,1
schilden,2,1
Rococo,14,1
Jugendstil,512,1
De Stijl,108,1
Nieuwe Bouwen,203,1
steentijd,365,1
Protohistorie,97,1
Tweede Wereldoorlog,460,1
Pleistoceen,287,1
Drents zandgebied,5,1
provincies,116,1
pastorieën,2,1
ruïnes,84,1
industriële complexen,14,1
"Reproductie. Kopieën.  Maken van getrouwe kopie, replica's, afgietsels",2,1
