term,use_count,N
vroege geschiedenis ; België,1,1
archeologie ; prehistorie,12,1
archeologie ; klassieke oudheid,37,1
geschiedenis ; middeleeuwen,4,1
iconografie ; het bovennatuurlijke,16,1
iconografie ; de natuur,166,1
iconografie ; de mens,152,1
iconografie ; de bijbel,15,1
iconografie ; klassieke mythologie,4,1
kunst ; middeleeuwen,11,1
kunst ; renaissance,44,1
kunst ; twintigste eeuw,192,1
kunst ; hedendaags,490,1
schilderkunst ; renaissance,43,1
"schilderkunst ; barok, klassicisme",130,1
schilderkunst ; negentiende eeuw,108,1
schilderkunst ; twintigste eeuw,136,1
schilderkunst ; hedendaags,131,1
tekenkunst ; renaissance,6,1
"tekenkunst ; barok, klassicisme",39,1
tekenkunst ; negentiende eeuw,35,1
tekenkunst ; twintigste eeuw,29,1
tekenkunst ; hedendaags,44,1
grafische kunst ; renaissance,10,1
"grafische kunst ; barok, klassicisme",18,1
grafische kunst ; twintigste eeuw,13,1
grafische kunst ; hedendaags,46,1
beeldhouwkunst ; middeleeuwen,40,1
beeldhouwkunst ; renaissance,11,1
beeldhouwkunst ; negentiende eeuw,18,1
beeldhouwkunst ; twintigste eeuw,39,1
beeldhouwkunst ; hedendaags,115,1
beeldhouwkunst ; overige,26,1
bouwkunst ; renaissance,3,1
bouwkunst ; negentiende eeuw,7,1
bouwkunst ; twintigste eeuw,23,1
bouwkunst ; hedendaags,20,1
muziekgeschiedenis ; romantiek,1,1
muziek ; twintigste eeuw,3,1
textielkunst ; Nederland,69,1
tentoonstellingen ; Nederland,4626,1
keramiek ; Nederland,303,1
edelsmeedkunst ; Nederland,85,1
keramiek ; Groot-Brittannië,27,1
schilderkunst ; hedendaags ; Europa,4,1
schilderkunst ; negentiende eeuw ; Nederland,166,1
beeldhouwkunst ; hedendaags ; Nederland,278,1
geschiedenis van de schilderkunst ; Nederland,649,1
tekenkunst ; hedendaags ; Nederland,88,1
tekenkunst ; negentiende eeuw ; Nederland,34,1
schilderkunst ; hedendaags ; Nederland,329,1
"tekenkunst ; barok, klassicisme ;  Nederland",62,1
tekenkunst ; twintigste eeuw ; Nederland,30,1
geschiedenis van de grafische kunst ; Europa,3,1
"schilderkunst ; barok, klassicisme ; Nederland",306,1
grafische kunst ; hedendaags ; Nederland,110,1
kunst ; twintigste eeuw ; Nederland,161,1
kunst ; renaissance ; Italië,3,1
kunst ; renaissance ; Europa algemeen,3,1
kunst ; renaissance ; Frankrijk,1,1
kunst ; middeleeuwen ; Nederland,6,1
geschiedenis van het boek ; Nederland,2,1
beeldhouwkunst ; renaissance ; Zuid- en Zuidoost-Europa,3,1
schilderkunst ; middeleeuwen ; Italië,13,1
"schilderkunst ; barok, klassicisme ; Spanje",6,1
kunst ; renaissance ; Nederland,15,1
"schilderkunst ; barok, klassicisme ; Italië",5,1
grafische kunst ; negentiende eeuw ; Zuid- en Zuidoost Europa,2,1
kunstwetenschappen ; Nederland,987,1
grafische kunst ; twintigste eeuw ; Nederland,29,1
kunst ; twintigste eeuw ; Oostenrijk,1,1
kunst van europa ; Italië,13,1
kunst ; twintigste eeuw ; Noord-Europa,1,1
beeldhouwkunst ; negentiende eeuw ; Zuid- en Zuidoost-Europa,1,1
beeldhouwkunst ; twintigste eeuw ; Nederland,41,1
"bibliofilie, boekverzamelingen ; Zwitserland",1,1
kunst ; hedendaags ; BRD,18,1
kunst ; hedendaags ; DDR,2,1
grafische kunst ; hedendaags ; Noord-Europa,2,1
geschiedenis van de bouwkunst ; Nederland,25,1
fotografische kunst ; Nederland,44,1
beeldhouwkunst ; negentiende eeuw ; Europa,6,1
schilderkunst ; twintigste eeuw ; Nederland,148,1
tentoonstellingen ; DDR,5,1
beeldhouwkunst ; middeleeuwen ; Nederland,5,1
schilderkunst ; hedendaags ; Frankrijk,5,1
bouwkunst ; twintigste eeuw ; Nederland,44,1
schilderkunst ; renaissance ; Nederland,72,1
grafische kunst ; negentiende eeuw ; Frankrijk,5,1
grafische kunst ; twintigste eeuw ; Italië,1,1
beeldhouwkunst ; twintigste eeuw ; Frankrijk,1,1
textielkunst ; Frankrijk,3,1
glaskunst ; Italie,3,1
keramiek ; Duitsland,14,1
kunst ; twintigste eeuw ; Verenigde Staten,2,1
decoratieve kunst ; Italie,4,1
schilderkunst ; hedendaags ; België,6,1
iconografie ; de maatschappij,84,1
"kleding, mode ; japan",2,1
industriële vormgeving ; Zweden,2,1
tentoonstellingen ; Verenigde Staten,109,1
tentoonstellingen ; België,106,1
tentoonstellingen ; BRD,149,1
vroege geschiedenis ; Zuid-Europa en Zuidoost Europa,1,1
schilderkunst ; negentiende eeuw ; België,6,1
schilderkunst ; twintigste eeuw ; België,5,1
muziekgeschiedenis ; barok ; Oostenrijk,1,1
kunst van Europa ; Nederland,51,1
muziekgeschiedenis ; klassieken ; Nederland,1,1
snaarinstrumenten ; Nederland,1,1
kunst ; hedendaags ; Europa,12,1
grafische kunst ; hedendaags ; Sovjet Unie,1,1
geschiedenis van buitenlandse betrekkingen ; België,1,1
kunst ; negentiende eeuw ; Noord-Amerika,1,1
vormgeving van boeken ; Nederland,6,1
kunst ; hedendaags ; Oostenrijk,5,1
schilderkunst ; renaissance ; Italië,24,1
tekenkunst ; hedendaags ; Italië,1,1
industriële vormgeving ; Oostenrijk,3,1
iconografie ; de mens ; Nederland,33,1
iconografie ; de maatschappij ; Nederland,14,1
geschiedenis van de schilderkunst ; België en Luxemburg,20,1
grafische kunst ; twintigste eeuw ; BRD en west Berlijn,2,1
kunst ; twintigste eeuw ; België en Luxemburg,5,1
keramiek ; Verenigde Staten,4,1
kunst ; hedendaags ; België en Luxemburg,22,1
grafische kunst ; twintigste eeuw ; België en Luxemburg,2,1
keramiek ; BRD en West Berlijn,1,1
kunst ; negentiende eeuw ; Noorwegen,1,1
kunst ; negentiende eeuw ; Verenigde Staten,1,1
vroege geschiedenis ; Europa algemeen,1,1
grafische kunst ; twintigste eeuw ; Denemarken,1,1
kunst ; hedendaags ; Groot-Brittannië,3,1
tentoonstellingen ; Frankrijk,161,1
"beeldhouwkunst ; barok, klassicisme ; Nederland",3,1
kunstwetenschappen ; BRD,38,1
schilderkunst ; hedendaags ; Duitsland,2,1
"numismatiek, sigillografie ; Nederland",16,1
sociale geschiedenis ; Nederland,4,1
schilderkunst ; hedendaags ; Italië,4,1
"tekenkunst ; barok, klassicisme ; Italië",4,1
bouwkunst ; negentiende eeuw ; Nederland,3,1
tekenkunst ; renaissance ; Nederland,8,1
geschiedenis van de tekenkunst ; Frankrijk,2,1
tekenkunst ; negentiende eeuw ; Frankrijk,4,1
kunst ; twintigste eeuw ; Frankrijk,4,1
"schilderkunst ; barok, klassicisme ; Groot-Brittannië",3,1
