term,use_count,N
schilderkunst ; negentiende eeuw ; Groot-Brittannië,5,1
grafische kunst ; middeleeuwen ; Duitsland,1,1
grafische kunst ; renaissance ; Nederland,5,1
grafische kunst ; hedendaags ; Polen,1,1
grafische kunst ; hedendaags ; Groot-Brittannië,4,1
grafische kunst ; negentiende eeuw ; België en Luxemburg,1,1
schilderkunst ; twintigste eeuw ; Oost-Europa,1,1
kunst ; hedendaags ; Spanje,3,1
glaskunst ; Oost-Europa,1,1
"tekenkunst ; barok, klassicisme ; België en Luxemburg",5,1
tekenkunst ; negentiende eeuw ; Duitsland,4,1
tentoonstellingen ; Duitsland,113,1
kunsthandel ; Nederland,86,1
verzamelwezen ; Nederland,224,1
grafische kunst ; hedendaags ; DDR,1,1
grafische kunst ; hedendaags ; Frankrijk,2,1
vormgeving van boeken ; Oost-Europa,1,1
kunst ; hedendaags ; Noorwegen,1,1
productie en distributie van boeken ; Verenigde Staten,1,1
kunstwetenschappen ; Oost-Europa,1,1
grafische kunst ; twintigste eeuw ; Frankrijk,2,1
grafische kunst ; twintigste eeuw ; Spanje,2,1
grafische kunst ; hedendaags ; Israël,1,1
kunst ; twintigste eeuw ; Oost-Europa,1,1
zilver ; Belgisch,7,1
"bouwkunst ; barok, klassicisme ; Nederland",12,1
tentoonstellingen ; Groot-Brittannië,89,1
zilver ; Nederlands,26,1
kunst ; hedendaags ; Duitsland,9,1
beeldhouwkunst ; twintigste eeuw ; Duitsland,2,1
"wetenschapsbeleid, cultuurbeleid ; Nederland",280,1
muziek ; twintigste eeuw ; Nederland,2,1
tentoonstellingen ; Japan,45,1
museumwezen ; Nederland,79,1
genealogie en heraldiek ; Nederland,27,1
beeldhouwkunst ; negentiende eeuw ; nederland,6,1
"locale geschiedenis, regionale geschiedenis ; Nederland",122,1
keramiek ; Azië,10,1
prehistorie ; Nederland,3,1
tentoonstellingen ; Portugal,6,1
kunstwetenschappen ; België,41,1
tekenkunst ; hedendaags ; Duitsland,1,1
tentoonstellingen ; Spanje,32,1
tentoonstellingen ; Zwitserland,52,1
kunst ; hedendaags ; Zwitserland,1,1
kunst ; hedendaags ; Turkije,2,1
kunst van Europa ; Groot-Brittannië,1,1
kunst ; twintigste eeuw ; Hongarije,7,1
tentoonstellingen ; Italië,101,1
industriële archeologie ; Nederland,1,1
tentoonstellingen ; Griekenland,5,1
tekenkunst ; middeleeuwen ; Nederland,2,1
tekenkunst ; renaissance ; Frankrijk,2,1
"tekenkunst ; barok, klassicisme ; Frankrijk",2,1
tentoonstellingen ; Oostenrijk,24,1
schilderkunst ; middeleeuwen ; Nederland,19,1
schilderkunst ; renaissance ; België en Luxemburg,23,1
iconografie ; de natuur ; Nederland,35,1
geschiedenis van de fotografische kunst ; Nederland,59,1
binnenhuiskunst ; Groot-Brittannië,11,1
cultuurgeschiedenis ; Verenigde Staten,3,1
kunst in relatie tot andere gebieden van cultuur ; Nederland,5,1
keramiek ; Zweden,2,1
glaskunst ; Zweden,1,1
kunst ; twintigste eeuw ; Polen,3,1
industriële vormgeving ; Nederland,62,1
textielkunst ; Groot-Brittannië,2,1
textielkunst ; Azië,6,1
textielkunst ; Midden-Oosten,3,1
binnenhuiskunst ; Frankrijk,12,1
binnenhuiskunst ; Nederland,151,1
keramiek ; Europa,9,1
cultuurgeschiedenis ; Nederland,73,1
religieuze bouwkunst ; Nederland,11,1
bouwkunst ; renaissance ; Nederland,2,1
adresboeken ; Duitsland,1,1
museumwezen ; Duitsland,7,1
kunsthandel ; Groot-Brittannië,2,1
tekenkunst ; renaissance ; Italie,5,1
tentoonstellingen ; Australië,14,1
onderwerpsontsluiting ; Nederland,1,1
tentoonstellingen ; Noord-Europa,1,1
iconografie ; de natuur ; Europa,1,1
tentoonstellingen ; Polen,11,1
iconografie ; geschiedenis ; Nederland,9,1
filosofie en theorie van de kunstwetenschappen ; Nederland,3,1
binnenhuiskunst ; Europa,7,1
kunsthandel ; Europa,1,1
metaalbewerking ; Nederland,18,1
edelsmeedkunst ; Europa,2,1
kunstwetenschappen: overige ; Nederland,1,1
"kleding, mode ; Nederland",19,1
religieuze bouwkunst ; Europa,2,1
iconografie ; literatuur ; Nederland,2,1
utilitaire bouwkunst ; Nederland,152,1
geschiedenis van de tekenkunst ; Europa,5,1
technieken en materialen (tekenkunst) ; Nederland,3,1
kunstbevordering ; Nederland,32,1
glasraamkunst ; Nederland,18,1
kunst ; twintigste eeuw ; Rusland,3,1
Avant-garde ; Rusland,1,1
kunst ; negentiende eeuw ; Europa,5,1
adresboeken ; Nederland,7,1
technieken en materialen (grafische kunst) ; Nederland,2,1
ambtenarenrecht; Nederland,2,1
kunstwetenschappen ; Canada,3,1
overheidseconomie ; Nederland,5,1
pers ; Nederland,2,1
belastingrecht ; Nederland,1,1
fotografische kunst ; overige,9,1
schilderkunst ; twintigste eeuw ; Spanje,3,1
schilderkunst ; hedendaags ; Spanje,4,1
tekenkunst ; hedendaags ; Europa,2,1
monumentenzorg ; Nederland,1,1
tentoonstellingen ; Zweden,12,1
kunstwetenschappen ; Brazilië,15,1
tentoonstellingen ; Canada,25,1
productie en distributie van boeken ; Nederland,3,1
tentoonstellingen ; Hongarije,40,1
tentoonstellingen ; Azië,1,1
schilderkunst ; hedendaags ; Noord-Amerika,4,1
kunst ; hedendaags ; Rusland,3,1
kunst ; twintigste eeuw ; Duitsland,10,1
stedebouw (bouwkunst) ; Nederland,14,1
tentoonstellingen ; Denemarken,21,1
"landschapskunst, tuinkunst ; Nederland",7,1
edelsmeedkunst ; België,5,1
kunst ; hedendaags ; Zweden,2,1
"wetenschapsbeleid, cultuurbeleid ; België",1,1
methoden en technieken van de kunstwetenschappen ; Nederland,2,1
tentoonstellingen ; Finland,16,1
keramiek ; China,44,1
"archieven, archivistiek ; Nederland",46,1
overheidsbeleid (communicatiewetenschap) ; Nederland,1,1
"restaureren, conserveren, vervalsen ; België",3,1
keramiek ; België en Luxemburg,7,1
volkskunst ; Nederland,6,1
woningbouw (bouwkunst) ; Nederland,29,1
"biografische woordenboeken, bijzondere ; Nederland",4,1
kunst van Europa ; Finland,1,1
bouwkunst ; twintigste eeuw ; Verenigde staten,1,1
schilderkunst ; twintigste eeuw ; Rusland,3,1
geschiedenis van de tekenkunst ; Italië,7,1
schilderkunst ; negentiende eeuw ; Verenigde Staten,3,1
tentoonstellingen ; Israël,3,1
tentoonstellingen ; Turkije,2,1
presentatiebeleid ; internationaal,3,1
"locale geschiedenis, regionale geschiedenis ; België",2,1
iconografie ; geschiedenis,9,1
decoratieve kunst ; Nederland,39,1
geschiedenis van de bouwkunst ; Europa,1,1
beeldhouwkunst ; hedendaags ; Zwitserland,1,1
grafische kunst ; twintigste eeuw ; Verenigde Staten,1,1
filmkunst ; verschijningsvormen ; Nederland,3,1
textielkunst ; Polen,1,1
kunst ; hedendaags ; Brazilië,4,1
tentoonstellingen ; (voormalig) Joegoslavië,14,1
museumwezen ; België,11,1
binnenhuiskunst ; België,3,1
verzamelwezen ; België,7,1
industriële vormgeving ; België,2,1
"kleding, mode ; Groot-Brittannië",9,1
tekenkunst ; hedendaags ; België,1,1
grafische kunst ; negentiende eeuw ; Japan,2,1
"grafische kunst ; barok, klassicisme ; Italië",3,1
geschiedenis van de grafische kunst ; Nederland,61,1
iconografie ; geschiedenis ; België,3,1
filmkunst ; België,2,1
kunst ; renaissance ; België,3,1
kunstwetenschappen ; Zuid-Azië,4,1
tentoonstellingen ; Europa algemeen,13,1
keramiek ; Japan,9,1
"natuurkunde ; onderwijs, beroepsuitoefening, organisaties",5,1
religieuze bouwkunst ; België,3,1
kunst van Europa ; België en Luxemburg,1,1
textielkunst ; België,1,1
kunst van Europa ; algemeen,4,1
kunstwetenschappen ; overige,3,1
kunstwetenschappen ; Polen,1,1
kunst ; hedendaags ; Italië,3,1
tentoonstellingen ; Ierland,2,1
tentoonstellingen ; Tsjechoslowakije,2,1
keramiek ; Italië,9,1
sociale groepen ; bejaarden,2,1
museumwezen ; Frankrijk,4,1
verzamelwezen ; Frankrijk,3,1
kunst ; hedendaags ; Joegoslavië,1,1
kunst ; hedendaags ; Hongarije,8,1
kunstwetenschappen ; Zwitserland,5,1
kunst ; negentiende eeuw ; Oostenrijk,1,1
museumwezen ; BRD,15,1
textielkunst ; BRD,1,1
decoratieve kunst ; Oostenrijk,1,1
kunst ; twintigste eeuw ; Tsjechoslowakije,1,1
verzamelwezen ; Zwitserland,1,1
keramiek ; Frankrijk,8,1
kunsthandel ; Duitsland,1,1
bouwkunst ; twintigste eeuw ; Duitsland,1,1
kunst ; twintigste eeuw ; BRD,1,1
kunstwetenschappen ; China,1,1
schilderkunst ; hedendaags ; Hongarije,1,1
edelsmeedkunst ; Duitsland,4,1
verzamelwezen ; Duitsland,5,1
kunstwetenschappen ; Oostenrijk,3,1
kunst van Europa ; Duitsland,2,1
tentoonstellingen ; Zuid-Oost-Azië,5,1
iconografie ; geschiedenis ; Verenigde Staten,2,1
scheikunde ; overige,2,1
geschiedenis van de schilderkunst ; Spanje,8,1
decoratieve kunst ; Joegoslavië,1,1
kunst ; twintigste eeuw ; Joegoslavië,2,1
schilderkunst ; negentiende eeuw ; Joegoslavië,1,1
schilderkunst ; hedendaags ; Joegoslavië,1,1
tentoonstellingen ; Noorwegen,4,1
schilderkunst ; negentiende eeuw ; Noord-Europa,1,1
museumwezen ; Denemarken,4,1
schilderkunst ; twintigste eeuw ; Verenigde Staten,1,1
decoratieve kunst ; Verenigde Staten,1,1
museumwezen ; Verenigde Staten,9,1
schilderkunst ; negentiende eeuw ; Duitsland,4,1
tentoonstellingen ; Oost-Azië,1,1
museumwezen ; Zuid-Azië,2,1
tentoonstellingen ; Zuid-Azië,2,1
keramiek ; Zuid-Azië,2,1
kunst van Europa ; Spanje,2,1
tentoonstellingen ; Nederlandse Antillen en Suriname,3,1
schilderkunst ; hedendaags ; Nederlandse Antillen en Suriname,1,1
tentoonstellingen ; Zuid-Afrika,2,1
kunstwetenschappen ; Australië,3,1
museumwezen ; Finland,5,1
methoden en technieken van de kunstwetenschappen ; Denemarken,1,1
industriële vormgeving ; Europa,1,1
overige kunstvormen ; Nederland,3,1
presentatiebeleid ; nationaal,3,1
geschiedenis van de schilderkunst ; Frankrijk,21,1
bestuurskunde ; overheid,3,1
leeftijdsgroepen ; jeugd,1,1
kunstwetenschappen ; Spanje,5,1
kunstwetenschappen ; Groot Brittannië,38,1
kunstwetenschappen ; Verenigde Staten,50,1
kunstwetenschappen ; Hongarije,3,1
Museum of Fine Arts ; Hongarije,1,1
kunstwetenschappen ; DDR,4,1
kunstwetenschappen ; Duitsland,24,1
keramiek ; Zuid-Oost-Azië,1,1
blaasinstrumenten ; Nederland,1,1
"wetenschapsbeleid, cultuurbeleid ; Europa",3,1
archeologie ; Nederland,42,1
"archieven, archivistiek ; België",1,1
kunstwetenschappen ; Denemarken,2,1
museumwezen ; Brazilië,3,1
"restaureren, conserveren, vervalsen ; Duitsland",4,1
utilitaire bouwkunst ; Denemarken,2,1
geschiedenis van de schilderkunst ; Noord-Europa,1,1
museumwezen ; DDR,3,1
geschiedenis van de schilderkunst ; Europa,59,1
geschiedenis van de beeldhouwkunst ; België en Luxemburg,3,1
kunst van de klassieke oudheid ; Griekenland,11,1
geschiedenis van de schilderkunst ; China,7,1
kunstwetenschappen ; Frankrijk,42,1
kunstwetenschappen ; Japan,8,1
kunstwetenschappen ; Italië,27,1
bouwkunst ; twintigste eeuw ; Sovjet-Unie,1,1
archeologie ; middeleeuws en postmiddeleeuws  ; België,2,1
adresboeken ; Noorwegen,1,1
kunsthandel ; Frankrijk,1,1
locale en regionale geschiedenis ; BRD,1,1
schilderkunst ; renaissance ; Duitsland,1,1
muurschilderkunst ; Frankrijk,4,1
geschiedenis van de beeldhouwkunst ; Frankrijk,4,1
geschiedenis van de beeldhouwkunst ; Nederland,167,1
beeldhouwkunst ; overige ; Nederland,7,1
museologie ; Verenigde Staten,5,1
wetenschap en cultuur in het algemeen ; overige,9,1
cultuurgeschiedenis ; België,1,1
archeologie ; prehistorie ; West- en Centraal-Europa,1,1
archeologie ; prehistorie ; Nederland,3,1
geschiedenis ; laat-modern tijdvak,5,1
geschiedenis ; laat-modern tijdvak ; Nederland,13,1
algemene naslagwerken ; overige,2,1
naslagwerken ; algemene,1,1
organisatie van wetenschap en cultuur ; Nederland,6,1
museologie ; Canada,1,1
museologie ; Nederland,68,1
geschiedenis ; contemporain tijdvak ; Nederland,4,1
geschiedenis ; contemporain tijdvak,3,1
kunstwetenschappen ; Rusland,7,1
kunstwetenschappen ; (voormalig) Joegoslavië,1,1
kunstwetenschappen ; Finland,1,1
"onderwijs, beroepsuitoefening, organisaties (kunst) ; Frankrijk",2,1
"onderwijs, beroepsuitoefening, organisaties (kunst) ; Italië",2,1
verzamelwezen ; Verenigde Staten,1,1
museumwezen ; Groot-Brittannië,3,1
museumwezen ; Japan,1,1
tentoonstellingen ; China,3,1
tentoonstellingen ; Mexico,3,1
kunsthandel ; Verenigde Staten,1,1
"restaureren, conserveren, vervalsen ; Nederland",30,1
"restaureren, conserveren, vervalsen ; Italië",11,1
kunst en maatschappij ; overige,41,1
verzamelwezen ; Groot-Brittannië,12,1
beeldhouwkunst ; hedendaags ; Oostenrijk,1,1
tentoonstellingen ; Brazilië,24,1
geschiedenis ; contemporain tijdvak ; BRD,1,1
"jaarverslagen, jaarboeken ; Verenigde Staten",1,1
organisaties van kunst en cultuur ; Nederland,9,1
porselein ; chinees,39,1
kunst ; twintigste eeuw ; Groot-Brittannië,1,1
correspondentie ; inventarisatie,1,1
internationale betrekkingen ; overige,1,1
geschiedenis van de grafische kunst ; Verenigde Staten,3,1
"onderwijs, beroepsuitoefening, organisaties (kunst) ; Nederland",34,1
geschiedenis van de beeldhouwkunst ; Verenigde Staten,1,1
"bouwkunst ; barok, klassicisme",1,1
museologie ; Afrika,3,1
kunsthandel ; Afrika,2,1
tentoonstellingen ; Midden- en Zuid-Amerika,5,1
binnenhuiskunst ; Zuid-Azië,1,1
kunst ; hedendaags ; Verenigde Staten,5,1
"beeldhouwkunst ; barok, klassicisme",10,1
beeldhouwkunst ; middeleeuwen ; Italië,4,1
schilderkunst ; middeleeuwen,24,1
geschiedenis van de beeldhouwkunst ; Afrika,3,1
geschiedenis van de beeldhouwkunst ; Griekenland,1,1
vroege geschiedenis ; Nederland,1,1
kunst ; twintigste eeuw ; Europa,7,1
grafische kunst ; negentiende eeuw,9,1
kunst ; hedendaags ; Nederland,661,1
iconografie ; de natuur ; België en Luxemburg,1,1
geschiedenis ; vroeg-modern tijdvak ; Nederland,42,1
kunst en maatschappij ; overige ; Nederland,12,1
"biografie, biografische woordenboeken: overige ; Italië",1,1
"biografie, biografische woordenboeken: overige ; Frankrijk",3,1
museumwezen ; Tsjechoslowakije,2,1
"bibliotheek, documentatie, informatie ; geschiedenis",8,1
"jaarverslagen, jaarboeken ; Nederland",92,1
bibliografieën ; overige,3,1
adresboeken ; Europa,3,1
schilderkunst ; middeleeuwen ; België en Luxemburg,18,1
Avant-garde ; Verenigde Staten,1,1
kunst ; negentiende eeuw,53,1
kunst ; negentiende eeuw ; Nederland,28,1
bouwkunst ; hedendaags ; Nederland,26,1
beeldhouwkunst ; hedendaags ; België en Luxemburg,11,1
beeldhouwkunst ; hedendaags ; Canada,1,1
beeldhouwkunst ; hedendaags ; Groot-Brittannie,2,1
beeldhouwkunst ; hedendaags ; Europa,12,1
beeldhouwkunst ; hedendaags ; Italie,2,1
grafische kunst ; hedendaags ; Oost-Europa,7,1
grafische kunst ; hedendaags ; Zuid- en Zuidoost Europa,2,1
grafische kunst ; hedendaags ; Zweden,1,1
grafische kunst ; hedendaags ; Amerika,1,1
grafische kunst ; hedendaags ; België,3,1
archeologie ; middeleeuws en postmiddeleeuws,21,1
archeologie ; middeleeuws en postmiddeleeuws ; Nederland,7,1
schilderkunst ; hedendaags ; Groot-Brittannië,5,1
toegepaste grafische kunst ; Oost-Europa,1,1
toegepaste grafische kunst ; Nederland,45,1
glaskunst ; Nederland,56,1
"kunst ; barok, klassicisme ; Europa",2,1
geschiedenis ; vroeg-modern tijdvak,25,1
geschiedenis ; vroeg-modern tijdvak ; Italië,1,1
geschiedenis ; vroeg-modern tijdvak ; Verenigde Staten,1,1
"kunst ; barok, klassicisme ; Frankrijk",3,1
tekenkunst ; twintigste eeuw ; Duitsland,1,1
grafische kunst ; twintigste eeuw ; Duitsland,6,1
beeldhouwkunst ; twintigste eeuw ; BRD,1,1
tekenkunst ; twintigste eeuw ; BDR,1,1
schilderkunst ; twintigste eeuw ; Japan,1,1
schilderkunst ; twintigste eeuw ; Groot-Brittannië,3,1
schilderkunst ; twintigste eeuw ; Frankrijk,9,1
beeldhouwkunst ; twintigste eeuw ; Europa,5,1
schilderkunst ; twintigste eeuw ; Europa,12,1
schilderkunst ; negentiende eeuw ; Europa,16,1
schilderkunst ; twintigste eeuw ; Duitsland,5,1
keramiek ; Centraal Azië,2,1
keramiek ; Denemarken,1,1
keramiek ; Oost - Europa,2,1
muziekgeschiedenis ; barok,3,1
muziekgeschiedenis ; barok ; Duitsland,1,1
"kunst ; barok, klassicisme ; Denemarken",1,1
"kunst ; barok, klassicisme ; Duitsland",4,1
kunst ; negentiende eeuw ; Frankrijk,5,1
"kunst ; barok, klassicisme ; Groot-Brittannië",3,1
kunst ; twintigste eeuws ; Italië,1,1
kunst ; negentiende eeuw ; Italië,1,1
"kunst ; barok, klassicisme ; Italië",3,1
"kunst ; barok, klassicisme ; Nederland",41,1
"kunst ; barok, klassicisme ; België en Luxemburg",6,1
"grafische kunst ; barok, klassicisme ; Nederland",23,1
"grafische kunst ; barok, klassicisme ; Frankrijk",1,1
grafische kunst ; negentiende eeuw ; Nederland,14,1
geschiedenis van de tekenkunst ; Nederland,89,1
"schilderkunst ; barok, klassicisme ; Europa",28,1
schilderkunst ; negentiende eeuw ; Frankrijk,29,1
"schilderkunst ; barok, klassicisme ; Frankrijk",8,1
"schilderkunst ; barok, klassicisme ; België",39,1
videokunst ; Nederland,6,1
glaskunst ; Noord-Amerika,1,1
glaskunst ; Europa,5,1
kunstroof; tweede wereldoorlog; jodenvervolging,1,1
kunst ; negentiende eeuw ; België,2,1
Organisatie en management van musea. Incl.: PR; marketing,56,1
"scheikunde ; onderwijs, beroepsuitoefening, organisaties",21,1
scheikunde ; algemeen,3,1
kunstnijverheid ; zeventiende eeuw ; Nederland,1,1
schilderkunst ; zeventiende eeuw ; Nederland,45,1
beeldhouwkunst ; zeventiende eeuw ; Nederland,1,1
prentkunst ; zeventiende eeuw ; Nederland,3,1
tekenkunst : zeventiende eeuw ; Nederland,7,1
porselein ;  België,2,1
faience ; België,4,1
"onderwijs, beroepsuitoefening, organisaties (kunst) ; Duitsland",1,1
iconografie ; literatuur,1,1
"kunst ; barok, klassicisme",45,1
kunst ; twintigste eeuw ; italië,3,1
kunst van europa ; frankrijk,3,1
geschiedenis van de schilderkunst ; Duitsland,6,1
geschiedenis van de schilderkunst ; Italië,29,1
geschiedenis van de schilderkunst ; Verenigde Staten,4,1
Geschiedenis van de schilderkunst ; Groot-Brittannië,6,1
geschiedenis van de tekenkunst ; België en Luxemburg,1,1
geschiedenis van de tekenkunst ; Groot-Brittannie͏̈,1,1
tekenkunst ; middeleeuwen,2,1
geschiedenis van de grafische kunst ; Frankrijk,1,1
geschiedenis van de grafische kunst ; België en Luxemburg,1,1
geschiedenis van de beeldhouwkunst ; Europa,1,1
geschiedenis van de beeldhouwkunst ; Duitsland,2,1
geschiedenis van de bouwkunst ; Frankrijk,1,1
kunst van europa ; Oostenrijk,1,1
kunst van Europa ; Zweden,1,1
"onderwijs, beroepsuitoefening, organisaties (kunst) ; Verenigde",1,1
industriële vormgeving ; Nederland,1,1
"kunstkritiek, kunstbeschouwing ; Nederland",4,1
keramiek ; Azi,1,1
Polymeren; luminisme,3,1
glaskunst ; België en Luxemburg,1,1
tentoonstellingen ; België en Luxemburg,29,1
schilderkunst ; overige,21,1
beeldhouwkunst ; hedendaags ; Verenigde Staten,1,1
schilderkunst ; hedendaags ; China,1,1
"vlakke voet met hol geprofileerde rand, overgaand in omgekeerd conische schacht; bovenaan tussen geprofileerde ringen een gedrongen omgekeerd balustervormige nodus",1,1
"""""Waddenzee; wadden""""",7,1
tentoonstellingen ; Afrika,1,1
koloniale geschiedenis ; Nederland,1,1
kunstwetenschappen ; Nederlandse Antillen en Suriname,1,1
geschiedenis van de beeldhouwkunst ; Italië,2,1
geschiedenis van de schilderkunst ; Denemarken,1,1
