Term in CSV,Other Term in CSV,Similarity Score
Javaanse bouwkunst,Neoromaanse bouwkunst,0.8079059414895747
Javaanse bouwkunst,Byzantijnse bouwkunst,0.8669657815531815
Javaanse bouwkunst,Latijnse bouwkunst,0.8138630306508692
Javaanse bouwkunst,Griekse bouwkunst,0.8541006083349942
Javaanse bouwkunst,Egyptische bouwkunst,0.8335365802161082
Javaanse bouwkunst,Naoorlogse bouwkunst,0.8405169802610287
Javaanse bouwkunst,religieuze bouwkunst,0.8260454938621606
Landbouworganisatie,Landbouwcooperatie,0.8550242764840266
Ondergronds bouwen,Ecologisch bouwen,0.8208210920885123
Aanbouw,Archiefgebouw,0.8025589905099144
Boerderijbouw,Betonbouw,0.8201347416270602
Boerderijbouw,Bibliotheekbouw,0.8217681641713451
Boerderijbouw,Bosgebouw,0.8114957221867638
Victoriaanse bouwkunst,Romaanse bouwkunst,0.8602995501812262
Victoriaanse bouwkunst,Islamitische bouwkunst,0.8644238745728877
Victoriaanse bouwkunst,Javaanse bouwkunst,0.8214091183481691
Victoriaanse bouwkunst,Romeinse bouwkunst,0.8670611787476239
Victoriaanse bouwkunst,Neoromaanse bouwkunst,0.8560501654330828
Victoriaanse bouwkunst,Byzantijnse bouwkunst,0.8098442870099307
Victoriaanse bouwkunst,Latijnse bouwkunst,0.8251397889956397
Victoriaanse bouwkunst,Griekse bouwkunst,0.8564805930401086
Victoriaanse bouwkunst,Naoorlogse bouwkunst,0.8435396411314449
Catalogusbouw,Duanegebouw,0.8159962707019225
Moderne bouwkunst,Landelijke bouwkunst,0.8456207205395828
Moderne bouwkunst,Kerkelijke bouwkunst,0.871314007368953
Moderne bouwkunst,Militaire bouwkunst,0.8178743653182844
Moderne bouwkunst,Latijnse bouwkunst,0.8139314151791656
Sociale woningbouw,Naoorlogse woningbouw,0.8029473416137982
Statengebouw,Stadsbouwmeester,0.8240507936054176
Statengebouw,Skeletbouw,0.8577939462810154
Statengebouw,Scholenbouw,0.822361236632645
Statengebouw,Steenbouw,0.81971946595648
Romeinse bouwkunst,Romaanse bouwkunst,0.8801182456415936
Romeinse bouwkunst,Antroposofische bouwkunst,0.8004179298487364
Romeinse bouwkunst,Nationaal-Socialistische bouwkunst,0.8148613145880635
Romeinse bouwkunst,Islamitische bouwkunst,0.861635933514081
Romeinse bouwkunst,Javaanse bouwkunst,0.8391240628014573
Romeinse bouwkunst,Victoriaanse bouwkunst,0.8670611787476239
Romeinse bouwkunst,Neoromaanse bouwkunst,0.8313432998712675
Romeinse bouwkunst,Byzantijnse bouwkunst,0.8256300971534675
Romeinse bouwkunst,Latijnse bouwkunst,0.865072960299792
Romeinse bouwkunst,Griekse bouwkunst,0.8473208918603418
Romeinse bouwkunst,Egyptische bouwkunst,0.8553936976292379
Romeinse bouwkunst,Naoorlogse bouwkunst,0.8593254570250793
Romeinse bouwkunst,religieuze bouwkunst,0.8001480191340189
Douanegebouw,Dijkbouw,0.8244492335573708
Douanegebouw,Duanegebouw,0.8372234756696114
Laagbouw,Terrasbouw,0.8107867033277298
Laagbouw,Rijstbouw,0.8018483596340522
Laagbouw,Thesaurusbouw,0.8383934755315167
Neoromaanse bouwkunst,Antroposofische bouwkunst,0.8340926758425897
Neoromaanse bouwkunst,Nationaal-Socialistische bouwkunst,0.8164562417446972
Neoromaanse bouwkunst,Islamitische bouwkunst,0.8347724718019446
Neoromaanse bouwkunst,Javaanse bouwkunst,0.8079059414895747
Neoromaanse bouwkunst,Victoriaanse bouwkunst,0.8560501654330828
Neoromaanse bouwkunst,Romeinse bouwkunst,0.8313432998712675
Neoromaanse bouwkunst,Byzantijnse bouwkunst,0.8609453989775864
Neoromaanse bouwkunst,Latijnse bouwkunst,0.8364433532110215
Neoromaanse bouwkunst,Griekse bouwkunst,0.8586863938977812
Neoromaanse bouwkunst,Egyptische bouwkunst,0.847467428846673
Neoromaanse bouwkunst,Naoorlogse bouwkunst,0.8016229181734301
Bosgebouw,Vakwerkbouw,0.8029984582953601
Bosgebouw,Beursgebouw,0.8180266584970901
Bosgebouw,Gebouw,0.8265364696024196
Bosgebouw,Boerderijbouw,0.8114957221867638
Openbare gebouwen,Kerkelijke gebouwen,0.8470328203587366
Openbare gebouwen,Beschermende maatregelen aan gebouwen,0.8123544214455467
Landbouwbeleid,Landbouwwetgeving,0.8196626112349235
Byzantijnse bouwkunst,Romaanse bouwkunst,0.8151439050885816
Byzantijnse bouwkunst,Javaanse bouwkunst,0.8669657815531815
Byzantijnse bouwkunst,Victoriaanse bouwkunst,0.8098442870099307
Byzantijnse bouwkunst,Romeinse bouwkunst,0.8256300971534675
Byzantijnse bouwkunst,Neoromaanse bouwkunst,0.8609453989775864
Byzantijnse bouwkunst,Latijnse bouwkunst,0.8492120472310101
