Term in CSV,Other Term in CSV,Similarity Score
filtergebouwen,luchtfiltergebouwen,85
filtergebouwen,flatgebouwen,85
overheidsgebouwen,Overheidsgebouwen,94
overheidsgebouwen,nijverheidsgebouwen,89
sportgebouwen,sportgebouw,92
sportgebouwen,transportgebouwen,87
sportgebouwen,poortgebouwen,92
sportverenigingsgebouwen,verenigingsgebouwen,88
transportgebouwen,sportgebouwen,87
spoorweggebouwen,Spoorweggebouw,87
watergebouwen,wachtgebouwen,85
watergebouwen,werfgebouwen,88
verenigingsgebouwen,verenigingsgebouw,94
verenigingsgebouwen,sportverenigingsgebouwen,88
verenigingsgebouwen,vakverenigingsgebouwen,93
logegebouwen,logeergebouwen,92
patronaatsgebouwen,patronaatsgebouw,94
vakverenigingsgebouwen,verenigingsgebouw,87
vakverenigingsgebouwen,verenigingsgebouwen,93
brongebouwen,rondgebouwden,88
waterbouwkundige werken,wegenbouwkundige werken,87
wegenbouwkundige werken,waterbouwkundige werken,87
luchtfiltergebouwen,filtergebouwen,85
flatgebouwen,flatgebouw,91
flatgebouwen,filtergebouwen,85
bouwonderdelen,Gebouwonderdelen,93
waterbouwkundige werken onderdelen,wegenbouwkundige werken onderdelen,91
wegenbouwkundige werken onderdelen,waterbouwkundige werken onderdelen,91
toiletgebouwen,toiletgebouw,92
landbouwvliegtuigen,landbouwvoertuigen,86
landbouwvoertuigen,Landbouwvoertuig,88
landbouwvoertuigen,landbouwvliegtuigen,86
rondgebouwden,brongebouwen,88
poortgebouwen,sportgebouwen,92
logeergebouwen,logegebouwen,92
kantorengebouwen,kantoorgebouwen,90
kantorengebouwen,kantoorgebouwen,90
gouvernementsgebouwen,Gouvernementsgebouw,90
Utiliteitsgebouwen,Utiliteitsbouw,88
schoolgebouwen,schoolgebouw,92
