term,use_count,N
bouwkunst: overige,20,1
stedebouw (bouwkunst),19,1
woningbouw (bouwkunst),29,1
geschiedenis van de bouwkunst,16,1
onderwijsgebouwen,6,1
arbeid in de landbouw,1,1
bouwmaterieel,1,1
"bouwmaterialen, bouwproducten",17,1
bouwmethoden,3,1
museumbouw,2,1
"Fonds voor beeldende kunsten, vormgeving en bouwkunst",1,1
Fysische opbouw van de materie,8,1
Werktuigbouwkunde in het algemeen. Eelektrotechniek,2,1
Civiele en bouwkundige techniek in het algemeen,2,1
Landbouw en verwante wetenschappen en technieken,4,1
Onderhoud van bouwwerken,15,1
Vernieling. Beschadiging. Reparatie van gebouwen,15,1
Versteviging van bouwwerken. Wijziging. Versterking,15,1
Aarde. Kleiwaren. Aardewerk. Keramische bouwmaterialen,7,1
Metaalhoudende bouwstoffen,12,1
Constructiedelen en constructie-elementen van bouwwerken,20,1
Funderingen van gebouwen,13,1
metselwerk en verwante bouwbedrijfstakken,10,1
Houtbouw. Timmermanswerk. Schrijnwerk,9,1
"Uitrusting, gas- en waterleidingen, installaties in gebouwen",3,1
"Klimaatbeheersing. Verwarming, ventilatie, luchtbehandeling van gebouwen",1,1
Ambachten betreffende de afwerking (bouw),9,1
Beschermende maatregelen aan gebouwen,14,1
"Openbare, civiele, industriële gebouwen. Seculaire architectuur",10,1
museumgebouwen,53,1
bouwkundige techniek,1,1
landbouwwetenschappen,2,1
bouwelementen,1,1
Onderhoud van bouwwerken in het algemeen. Incl.: Inspectie.,36,1
"Gebouwen voor opleidings-, wetenschappelijke en culturele",3,1
Overheidsgebouwen,2,1
fabrieksgebouwen,5,1
bedrijfsgebouwen,1,1
bouwsculptuur,9,1
stationsgebouwen,36,1
beursgebouwen,2,1
bankgebouwen,3,1
bouwwerken,1,1
Revolutiebouw,1,1
onbebouwd,1,1
gebouwde omgeving,26,1
bouwelementen,57,1
waterbouwkundige elementen,225,1
uitbouw,8,1
uitbouwen,1,1
bouwwerken,36,1
agrarische gebouwen,11,1
bijgebouwen,386,1
akkerbouwboerderijen,1,1
fokkerijgebouwen,4,1
mesterijgebouwen,3,1
kwekerijgebouwen,3,1
bedieningsgebouwen,9,1
bestuursgebouwen,29,1
admiraliteitsgebouwen,1,1
gemeentelijk bestuursgebouwen,1,1
gezantschapsgebouwen,1,1
landsbestuursgebouwen,1,1
parlementsgebouwen,3,1
regeringsgebouwen,1,1
cultuurgebouwen,32,1
concertgebouwen,2,1
kunstverzamelingsgebouwen,1,1
operagebouwen,1,1
tentoonstellingsgebouwen,1,1
toneelgebouwen,1,1
gerechtsgebouwen,28,1
kantongerechtsgebouwen,1,1
horecagebouwen,18,1
handelsgebouwen,28,1
bankgebouwen,11,1
beursgebouwen,9,1
compagniegebouwen,1,1
marktgebouwen,6,1
muntgebouwen,6,1
veilinggebouwen,6,1
kantoorgebouwen,20,1
administratiegebouwen,1,1
militaire gebouwen,42,1
fouragegebouwen,1,1
bureelgebouwen,1,1
legeringsgebouwen,1,1
wachtgebouwen,3,1
nijverheidsgebouwen,39,1
landbouwmechanisatiebedrijven,1,1
machinegebouwen,1,1
schachtgebouwen,1,1
werfgebouwen,1,1
nutsgebouwen,17,1
filtergebouwen,1,1
transformatorgebouwen,1,1
onderwijsgebouwen,14,1
faculteitsgebouw,1,1
akademies voor bouwkunst,1,1
opslaggebouwen,25,1
distributiegebouwen,2,1
landbouwschuren,2,1
overheidsgebouwen,25,1
belastinggebouwen,1,1
brandweergebouwen,2,1
PTT-gebouwen,1,1
telecommunicatiegebouwen,1,1
recreatiegebouwen,19,1
circusgebouwen,2,1
speelgebouwen,1,1
religieuze gebouwen,293,1
centraalbouw,27,1
sportgebouwen,17,1
sportverenigingsgebouwen,1,1
transportgebouwen,26,1
elektrificatiegebouwen,1,1
scheepvaartgebouwen,1,1
spoorweggebouwen,2,1
watergebouwen,1,1
verenigingsgebouwen,13,1
logegebouwen,2,1
patronaatsgebouwen,1,1
vakverenigingsgebouwen,2,1
verzorgingsgebouwen,24,1
brongebouwen,1,1
waterbouwkundige werken,6,1
wegenbouwkundige werken,17,1
luchtfiltergebouwen,1,1
wetenschapsgebouwen,13,1
veeartsenijgebouwen,1,1
winkelgebouwen,7,1
flatgebouwen,15,1
bouwonderdelen,8,1
pompgebouwen,1,1
religieuze gebouwen onderdelen,57,1
waterbouwkundige werken onderdelen,47,1
wegenbouwkundige werken onderdelen,82,1
combinatiegebouwtjes,1,1
toiletgebouwen,3,1
ondergrondse toiletgebouwen,1,1
bouwterreinelementen,2,1
bosbouw gereedschap & uitrusting,1,1
mijnbouw en mineralenwining gereedschap & uitrusting,1,1
klinkerbouwen,1,1
landbouwvliegtuigen,1,1
landbouwvoertuigen,2,1
rondgebouwden,1,1
flambouwschild,1,1
antroposofische bouwstijl,1,1
poortgebouwen,6,1
havengebouwen,1,1
logeergebouwen,5,1
kantorengebouwen,3,1
kazernegebouwen,1,1
keukengebouwen,1,1
officiersgebouwen,1,1
gouvernementsgebouwen,8,1
hoofdgebouwen,3,1
dienstgebouwen,8,1
soldatengebouwen,1,1
bouwresten,1,1
panelen (bouwelement),3,1
Utiliteitsgebouwen,1,1
schoolgebouwen,17,1
experimentele woningbouw,4,1
stadslandbouw,2,1
